병원이름,병원종류,전화번호,병원주소,월,화,수,목,금,토,일,영업시간,쉬는시간,접수마감
행복나눔치과의원,치과,051-316-7528,부산 사상구 낙동대로 733 롯데마트엄궁점,"10:00 - 20:00
12:40 - 14:00 휴게시간","10:00 - 20:00
12:40 - 14:00 휴게시간","10:00 - 20:00
12:40 - 14:00 휴게시간","10:00 - 20:00
12:40 - 14:00 휴게시간","10:00 - 20:00
12:40 - 14:00 휴게시간",10:00 - 14:00,정기휴무 (매주 일요일),10:00 - 20:00,12:40 - 14:00 ,
윤상경소아청소년과의원,소아청소년과,051-317-7575,부산 사상구 백양대로 888,09:00 - 18:30,,09:00 - 18:30,09:00 - 18:30,09:00 - 18:30,09:00 - 13:00,정기휴무 (매주 일요일),,,
모리아의원,내과,051-465-7257,부산 사상구 대동로 46 한나선교교회,09:00 - 18:00,,09:00 - 18:00,09:00 - 19:30,09:00 - 18:00,09:00 - 14:00,정기휴무 (매주 일요일),,,
초록마취통증의학과내과의원,마취통증의학과,051-311-0100,부산 사상구 대동로 95,"09:00 - 18:30
12:30 - 14:00 휴게시간",,09:00 - 13:00,"09:00 - 18:30
12:30 - 14:00 휴게시간","09:00 - 18:30
12:30 - 14:00 휴게시간",09:00 - 13:00,정기휴무 (매주 일요일),,,
정천규이비인후과의원,이비인후과,051-313-3993,부산 사상구 가야대로 296,"09:00 - 18:30
12:30 - 14:00 휴게시간",,"09:00 - 18:30
12:30 - 14:00 휴게시간","09:00 - 18:30
12:30 - 14:00 휴게시간","09:00 - 18:30
12:30 - 14:00 휴게시간",09:00 - 13:00,정기휴무 (매주 일요일),,,
삼인요양병원,요양병원,051-327-3333,부산 사상구 대동로 95,,,,,,,,,,
포근한정신건강의학과의원,정신건강의학과,051-717-2353,부산 사상구 사상로 246,"09:30 - 18:30
13:00 - 14:00 휴게시간",,"09:30 - 20:00
13:00 - 14:00 휴게시간","09:30 - 18:30
13:00 - 14:00 휴게시간","09:30 - 18:30
13:00 - 14:00 휴게시간",정기휴무 (매주 토요일),정기휴무 (매주 일요일),,,
정용학내과의원,내과,051-323-7582,부산 사상구 백양대로 900 3층 301호,"09:00 - 18:30
12:40 - 14:00 휴게시간
18:20 접수마감",,"09:00 - 18:30
12:40 - 14:00 휴게시간
18:20 접수마감","09:00 - 18:30
12:40 - 14:00 휴게시간
18:20 접수마감","09:00 - 18:30
12:40 - 14:00 휴게시간
18:20 접수마감","09:00 - 13:00
12:50 접수마감",정기휴무 (매주 일요일),,,
우리성모안과의원,안과,0507-1336-8220,부산 사상구 낙동대로 786 애진빌딩 2층,"09:00 - 18:30
13:00 - 14:00 휴게시간",,"09:00 - 18:30
13:00 - 14:00 휴게시간","09:00 - 18:30
13:00 - 14:00 휴게시간","09:00 - 18:30
13:00 - 14:00 휴게시간",09:00 - 13:00,정기휴무 (매주 일요일),,,
서현치과의원,치과,051-311-2275,부산 사상구 백양대로494번길 12 주례1차동일아파트,"09:00 - 18:00
12:30 - 14:00 휴게시간",,"09:00 - 18:00
12:30 - 14:00 휴게시간","09:00 - 18:00
12:30 - 14:00 휴게시간","09:00 - 18:00
12:30 - 14:00 휴게시간",09:00 - 13:00,정기휴무 (매주 일요일),,,
시카고치과의원,치과,051-314-7019,부산 사상구 사상로 252 김이태소아과의원,,,,"09:30 - 20:00
12:30 - 14:00 휴게시간","09:30 - 18:30
12:30 - 14:00 휴게시간",09:30 - 14:00,정기휴무 (매주 일요일),,,
현대부부치과의원,치과,0507-1486-2886,부산 사상구 운산로 31 현대부부치과,"09:30 - 18:00
12:30 - 14:00 휴게시간",,"09:30 - 18:00
12:30 - 14:00 휴게시간","09:30 - 18:00
12:30 - 14:00 휴게시간","09:30 - 18:00
12:30 - 14:00 휴게시간",09:30 - 12:30,정기휴무 (매주 일요일),,,
맥치과의원,치과,051-303-0028,부산 사상구 사상로 297,"09:30 - 18:00
12:30 - 14:00 휴게시간",,"09:30 - 18:00
12:30 - 14:00 휴게시간","09:30 - 18:00
12:30 - 14:00 휴게시간","09:30 - 18:00
12:30 - 14:00 휴게시간",09:30 - 14:00,정기휴무 (매주 일요일),,,
사상스마트병원,재활의학과,051-322-3000,부산 사상구 학감대로 269 사상스마트병원,"09:00 - 18:00
12:30 - 13:30 휴게시간",,"09:00 - 18:00
12:30 - 13:30 휴게시간","09:00 - 18:00
12:30 - 13:30 휴게시간","09:00 - 18:00
12:30 - 13:30 휴게시간",정기휴무 (매주 토요일),정기휴무 (매주 일요일),,,
스마트나라요양병원,요양병원,051-995-7799,부산 사상구 낙동대로 1026,"09:00 - 18:00
12:30 - 13:30 휴게시간",,"09:00 - 18:00
12:30 - 13:30 휴게시간","09:00 - 18:00
12:30 - 13:30 휴게시간","09:00 - 18:00
12:30 - 13:30 휴게시간",09:00 - 13:00,정기휴무 (매주 일요일),,,
큰솔2병원,재활의학과,0507-1325-0302,부산 사상구 학장로 189 학장 큰솔2병원,"09:00 - 18:00
12:30 - 13:30 휴게시간","09:00 - 18:00
12:30 - 13:30 휴게시간","09:00 - 18:00
12:30 - 13:30 휴게시간","09:00 - 18:00
12:30 - 13:30 휴게시간
접기","09:00 - 18:00
12:30 - 13:30 휴게시간",09:00 - 13:00,정기휴무 (매주 일요일),09:00 - 18:00,12:30 - 13:30 ,
신모라치과의원,치과,051-328-1745,부산 사상구 백양대로 893 궁전빌딩,"09:30 - 18:30
12:30 - 14:00 휴게시간",,"09:30 - 18:30
12:30 - 14:00 휴게시간","09:30 - 18:30
12:30 - 14:00 휴게시간","09:30 - 18:30
12:30 - 14:00 휴게시간",09:30 - 13:00,정기휴무 (매주 일요일),,,
주례정치과의원,치과,051-327-7528,부산 사상구 가야대로 274-3 JJ메디컬센터 3층,"09:30 - 18:30
12:30 - 14:00 휴게시간",,"14:00 - 20:30
17:00 - 17:30 휴게시간","09:30 - 18:30
12:30 - 14:00 휴게시간","09:30 - 18:30
12:30 - 14:00 휴게시간",09:30 - 13:30,정기휴무 (매주 일요일),,,
모라성모의원,내과,051-311-9702,부산 사상구 백양대로 888,"09:00 - 18:30
12:30 - 14:00 휴게시간
18:10 접수마감",,"09:00 - 18:30
12:30 - 14:00 휴게시간
18:10 접수마감","09:00 - 18:30
12:30 - 14:00 휴게시간
18:10 접수마감","09:00 - 18:30
12:30 - 14:00 휴게시간
18:10 접수마감","09:00 - 13:00
12:40 접수마감",정기휴무 (매주 일요일),,,
굿모닝유치과의원,치과,051-314-2875,부산 사상구 낙동대로 751 2층 203호,"09:30 - 18:30
12:30 - 14:00 휴게시간",,"09:30 - 18:30
12:30 - 14:00 휴게시간",정기휴무 (매주 목요일),"09:30 - 18:30
12:30 - 14:00 휴게시간",09:30 - 14:30,정기휴무 (매주 일요일),,,
서이비인후과의원,이비인후과,No phone number available,부산 사상구 백양대로 893,"09:00 - 18:30
12:30 - 14:00 휴게시간",,"09:00 - 18:30
12:30 - 14:00 휴게시간","09:00 - 18:30
12:30 - 14:00 휴게시간","09:00 - 18:30
12:30 - 14:00 휴게시간",09:00 - 13:00,정기휴무 (매주 일요일),,,
온사랑의원,"병원,의원",051-315-7553,부산 사상구 낙동대로 733 롯데마트 4층,"10:00 - 20:30
13:00 - 14:00 휴게시간
17:00 - 18:00 휴게시간
12:50, 16:50, 20:20 접수마감","10:00 - 20:30
13:00 - 14:00 휴게시간
17:00 - 18:00 휴게시간
12:50, 16:50, 20:20 접수마감","10:00 - 20:30
13:00 - 14:00 휴게시간
17:00 - 18:00 휴게시간
12:50, 16:50, 20:20 접수마감","14:00 - 20:30
17:00 - 18:00 휴게시간
16:50, 20:20 접수마감","10:00 - 20:30
13:00 - 14:00 휴게시간
17:00 - 18:00 휴게시간
12:50, 16:50, 20:20 접수마감","10:00 - 20:30
13:00 - 14:00 휴게시간
17:00 - 18:00 휴게시간
12:50, 16:50, 20:20 접수마감","10:00 - 20:30
13:00 - 14:00 휴게시간
17:00 - 18:00 휴게시간
12:50, 16:50, 20:20 접수마감",10:00 - 20:30,13:00 - 14:00 ,"12:50, 16:50, 20:20"
부산보훈요양병원 (2023년예정),요양병원,051-601-6396,부산 사상구 백양대로 420 보훈병원,,,,,,,,,,
예인부부치과의원,치과,051-314-1400,부산 사상구 사상로 246,"09:30 - 18:40
12:20 - 14:00 휴게시간",,"09:30 - 18:40
12:20 - 14:00 휴게시간","09:30 - 20:00
12:20 - 14:00 휴게시간","09:30 - 18:40
12:20 - 14:00 휴게시간",09:30 - 13:00,정기휴무 (매주 일요일),,,
한결의원,정형외과,051-315-8448,부산 사상구 대동로 109-1,09:00 - 19:00,,09:00 - 19:00,"09:00 - 19:00
접기",09:00 - 19:00,09:00 - 17:00,정보없음,,,
그린치과의원,치과,051-323-2022,부산 사상구 백양대로 886 정예독서실,"09:30 - 19:00
13:00 - 14:00 휴게시간",,"09:30 - 21:00
13:00 - 14:00 휴게시간",정기휴무 (매주 목요일),"09:30 - 19:00
13:00 - 14:00 휴게시간",09:30 - 14:00,정기휴무 (매주 일요일),,,
곽치과의원,치과,051-302-7575,부산 사상구 사상로 489-1 곽치과,,,,,,,,,,
더편한정신건강의학과의원,정신건강의학과,0507-1305-7751,부산 사상구 가야대로 272 10층,"09:30 - 18:30
13:00 - 14:00 휴게시간",,13:00 - 20:00,"09:30 - 18:30
13:00 - 14:00 휴게시간","09:30 - 18:30
13:00 - 14:00 휴게시간",09:30 - 14:00,정기휴무 (매주 일요일),,,
신우내과의원,내과,051-322-4816,부산 사상구 사상로 200 엠시티빌딩,"06:00 - 18:00
17:30 접수마감",,"06:00 - 18:00
17:30 접수마감","06:00 - 15:30
15:00 접수마감","06:00 - 18:00
17:30 접수마감","06:00 - 15:30
15:00 접수마감",정기휴무 (매주 일요일),,,
참소망연합의원,소아청소년과,051-315-5339,부산 사상구 가야대로 300,"09:00 - 18:00
17:30 접수마감",,"09:00 - 18:00
17:30 접수마감","09:00 - 18:00
17:30 접수마감","09:00 - 18:00
17:30 접수마감","09:00 - 13:00
12:30 접수마감",정기휴무 (매주 일요일),,,
학장성심요양병원,요양병원,051-314-2280,부산 사상구 대동로159번길 9,,,,,,,,,,
생명선의원,흉부외과,051-325-0119,"부산 사상구 사상로 194 괘법동메디컬센터 10층, 11층","08:00 - 17:00
12:00 - 13:00 휴게시간","08:00 - 17:00
12:00 - 13:00 휴게시간","08:00 - 17:00
12:00 - 13:00 휴게시간","08:00 - 17:00
12:00 - 13:00 휴게시간
접기","08:00 - 17:00
12:00 - 13:00 휴게시간","09:00 - 14:00
12:00 - 13:00 휴게시간",정기휴무 (매주 일요일),08:00 - 17:00,12:00 - 13:00 ,
한세신경외과의원,신경외과,051-325-2060,부산 사상구 새벽로 163,09:00 - 19:00,,09:00 - 19:00,09:00 - 19:00,09:00 - 19:00,09:00 - 13:00,정기휴무 (매주 일요일),,,
척바로마취통증의학과의원,정형외과,0507-1491-0069,부산 사상구 사상로 235 3층,"09:00 - 19:00
13:00 - 14:00 휴게시간",,"09:00 - 19:00
13:00 - 14:00 휴게시간",09:00 - 13:00,"09:00 - 19:00
13:00 - 14:00 휴게시간",09:00 - 14:00,정기휴무 (매주 일요일),,,
이앤이치과의원,치과,0507-1387-7528,부산 사상구 광장로 17 이마트 3층,"10:00 - 19:30
13:00 - 14:30 휴게시간",,"10:00 - 19:30
13:00 - 14:30 휴게시간","10:00 - 19:30
13:00 - 14:30 휴게시간","10:00 - 19:30
13:00 - 14:30 휴게시간",10:00 - 17:00,10:00 - 17:00,,,
참좋은내과의원,"병원,의원",051-947-1000,부산 사상구 백양대로 893 궁전빌딩 6층 601호 (모라동),"09:00 - 18:00
13:00 - 14:00 휴게시간",,"09:00 - 18:00
13:00 - 14:00 휴게시간","09:00 - 18:00
13:00 - 14:00 휴게시간","09:00 - 18:00
13:00 - 14:00 휴게시간",09:00 - 14:00,정기휴무 (매주 일요일),,,
열린치과의원,치과,051-305-2879,부산 사상구 덕상로 14 대원빌딩,"09:30 - 18:00
13:00 - 14:30 휴게시간",,16:00 - 19:00,"09:30 - 18:00
13:00 - 14:30 휴게시간","09:30 - 18:00
13:00 - 14:30 휴게시간",09:30 - 13:00,정기휴무 (매주 일요일),,,
연세김의원,내과,051-311-8275,부산 사상구 새벽시장로 70 보정프라자,"09:00 - 18:30
12:40 - 14:00 휴게시간",,"09:00 - 18:30
12:40 - 14:00 휴게시간","09:00 - 18:30
12:40 - 14:00 휴게시간","09:00 - 18:30
12:40 - 14:00 휴게시간",09:00 - 13:00,정기휴무 (매주 일요일),,,
바른재활의학과의원,재활의학과,0507-1339-1553,부산 사상구 가야대로 272,"09:00 - 18:30
13:00 - 14:00 휴게시간",,"09:00 - 18:30
13:00 - 14:00 휴게시간",14:00 - 18:30,"09:00 - 18:30
13:00 - 14:00 휴게시간",09:00 - 13:00,정기휴무 (매주 일요일),,,
이너피스한방병원,한방병원,051-302-1100,부산 사상구 백양대로804번길 36 이너피스한방병원,"08:30 - 17:00
12:00 - 13:00 휴게시간",,"08:30 - 17:00
12:00 - 13:00 휴게시간","08:30 - 17:00
12:00 - 13:00 휴게시간","08:30 - 17:00
12:00 - 13:00 휴게시간",08:30 - 12:30,정기휴무 (매주 일요일),,,
조은의원,"병원,의원",0507-1348-4042,부산 사상구 새벽로168번길 51 조은의원,09:00 - 19:00,,09:00 - 19:00,09:00 - 19:00,09:00 - 19:00,09:00 - 13:00,정기휴무 (매주 일요일),,,
우일의원,가정의학과,051-326-1411,부산 사상구 백양대로494번길 12,"09:00 - 17:30
12:30 - 14:00 휴게시간
17:20 접수마감",,"09:00 - 17:30
12:30 - 14:00 휴게시간
17:20 접수마감","09:00 - 17:30
12:30 - 14:00 휴게시간
17:20 접수마감","09:00 - 17:30
12:30 - 14:00 휴게시간
17:20 접수마감","09:00 - 12:30
12:20 접수마감",정기휴무 (매주 일요일),,,
삼대한의원,한의원,051-328-1133,부산 사상구 사상로 149,"09:30 - 18:30
13:00 - 14:00 휴게시간",,"09:30 - 18:30
13:00 - 14:00 휴게시간","09:30 - 18:30
13:00 - 14:00 휴게시간
접기","09:30 - 18:30
13:00 - 14:00 휴게시간",09:30 - 13:00,정기휴무 (매주 일요일),,,
부산신경외과의원,신경외과,051-715-3301,부산 사상구 낙동대로 786,"09:00 - 19:00
13:00 - 14:00 휴게시간",,"09:00 - 19:00
13:00 - 14:00 휴게시간",14:00 - 19:00,"09:00 - 19:00
13:00 - 14:00 휴게시간",09:00 - 14:00,정기휴무 (매주 일요일),,,
민강한의원,한의원,051-312-3121,부산 사상구 백양대로 490 동일1차 아파트상가 2층,"09:30 - 18:30
12:30 - 14:00 휴게시간",,"09:30 - 18:30
12:30 - 14:00 휴게시간","09:30 - 18:30
12:30 - 14:00 휴게시간","09:30 - 18:30
12:30 - 14:00 휴게시간",09:30 - 14:00,정기휴무 (매주 일요일),,,
학장성심의원,정형외과,0507-1423-2290,부산 사상구 대동로 159,"09:00 - 18:20
12:50 - 14:10 휴게시간",,"09:00 - 18:20
12:50 - 14:10 휴게시간","09:00 - 18:20
12:50 - 14:10 휴게시간","09:00 - 18:20
12:50 - 14:10 휴게시간",09:00 - 13:00,정기휴무 (매주 일요일),,,
고운이치과의원,치과,0507-1308-7528,부산 사상구 낙동대로 786 애진빌딩 4층 고운e치과,"09:30 - 18:30
12:30 - 14:00 휴게시간",,"09:30 - 18:30
12:30 - 14:00 휴게시간","09:30 - 18:30
12:30 - 14:00 휴게시간","09:30 - 18:30
12:30 - 14:00 휴게시간",정기휴무 (매주 토요일),정기휴무 (매주 일요일),,,
의료법인 길정의료재단 대남병원 길정병원,"병원,의원",051-324-2227,부산 사상구 학감대로39번길 116,09:00 - 17:00,,09:00 - 17:00,09:00 - 17:00,09:00 - 17:00,정기휴무 (매주 토요일),정기휴무 (매주 일요일),,,
연세내과의원,내과,051-303-6894,부산 사상구 사상로 287,"09:00 - 18:30
12:30 - 14:00 휴게시간",,"09:00 - 18:30
12:30 - 14:00 휴게시간","09:00 - 18:30
12:30 - 14:00 휴게시간","09:00 - 18:30
12:30 - 14:00 휴게시간",09:00 - 13:00,정기휴무 (매주 일요일),,,
길의원,내과,051-302-1117,부산 사상구 사상로 517 뉴월드직업전문학교,,,,,,,,,,
배현호내과의원,내과,051-328-0075,부산 사상구 낙동대로 774,"09:00 - 18:30
12:45 - 14:00 휴게시간",,"09:00 - 18:30
12:45 - 14:00 휴게시간","09:00 - 18:30
12:45 - 14:00 휴게시간","09:00 - 18:30
12:45 - 14:00 휴게시간",09:00 - 13:00,정기휴무 (매주 일요일),,,
가야신경정신과의원,정신건강의학과,051-322-1300,부산 사상구 가야대로 288,"09:00 - 18:30
13:00 - 14:00 휴게시간",,09:00 - 12:00,"09:00 - 18:30
13:00 - 14:00 휴게시간","09:00 - 18:30
13:00 - 14:00 휴게시간",09:00 - 12:00,정기휴무 (매주 일요일),,,
김내과의원,내과,051-322-9210,부산 사상구 대동로 94 학장반도보라타운,09:00 - 18:30,,09:00 - 18:30,09:00 - 18:30,09:00 - 18:30,09:00 - 13:00,정기휴무 (매주 일요일),,,
고운치과의원,치과,051-315-2080,부산 사상구 사상로 236,"09:30 - 19:00
13:00 - 14:30 휴게시간",,"09:30 - 20:00
13:00 - 14:30 휴게시간",09:30 - 13:00,"09:30 - 19:00
13:00 - 14:30 휴게시간",09:30 - 13:00,정기휴무 (매주 일요일),,,
노창진치과의원,치과,051-312-6425,부산 사상구 냉정로 115-1,"09:30 - 18:00
13:00 - 14:30 휴게시간",,정기휴무 (매주 수요일),"09:30 - 18:00
13:00 - 14:30 휴게시간","09:30 - 18:00
13:00 - 14:30 휴게시간",09:30 - 13:00,정기휴무 (매주 일요일),,,
순산부인과의원,산부인과,051-323-0555,부산 사상구 가야대로 288,09:30 - 18:30,,09:30 - 18:30,09:30 - 18:30,09:30 - 18:30,09:30 - 14:00,정기휴무 (매주 일요일),,,
예담한의원,한의원,051-403-4080,부산 사상구 낙동대로 733 롯데마트 사상점 4층 예담한의원,"10:00 - 20:00
13:00 - 14:00 휴게시간
12:30, 19:30 접수마감",,"10:00 - 20:00
13:00 - 14:00 휴게시간
12:30, 19:30 접수마감","10:00 - 20:00
13:00 - 14:00 휴게시간
12:30, 19:30 접수마감","10:00 - 20:00
13:00 - 14:00 휴게시간
12:30, 19:30 접수마감","10:00 - 17:00
13:00 - 14:00 휴게시간
12:30, 16:30 접수마감","10:00 - 17:00
13:00 - 14:00 휴게시간
12:30, 16:30 접수마감",,,
사회복지법인한국혈우재단부산의원,내과,051-328-6611,부산 사상구 가야대로 272 메디칼센터 7층,,,,,,,,,,
강림요양병원,요양병원,051-329-9000,부산 사상구 낙동대로 792,,,,,,,,,,
김판석정형외과의원,정형외과,051-302-1011,부산 사상구 사상로 359,"09:00 - 18:00
12:30 - 13:30 휴게시간
17:30 접수마감",,"09:00 - 18:00
12:30 - 13:30 휴게시간
17:30 접수마감","09:00 - 18:00
12:30 - 13:30 휴게시간
17:30 접수마감","09:00 - 18:00
12:30 - 13:30 휴게시간
17:30 접수마감","09:00 - 13:00
12:30 접수마감",정기휴무 (매주 일요일),,,
팔팔마취통증의학과의원,마취통증의학과,051-311-7301,부산 사상구 가야대로 272-1 2층,"09:00 - 18:00
13:00 - 14:00 휴게시간",,"09:00 - 18:00
13:00 - 14:00 휴게시간",09:00 - 13:00,"09:00 - 18:00
13:00 - 14:00 휴게시간",09:00 - 13:00,정기휴무 (매주 일요일),,,
선린태항외과의원,외과,051-335-1119,부산 사상구 가야대로 272-1,,,,,,,,,,
김용준소아청소년과의원,소아청소년과,0507-1441-6012,부산 사상구 가야대로 288,09:00 - 18:00,,09:00 - 18:00,14:00 - 18:00,09:00 - 18:00,09:00 - 13:00,정기휴무 (매주 일요일),,,
해맑은치과의원,치과,051-322-1928,부산 사상구 학감대로 120 현재빌딩,"09:30 - 18:00
12:00 - 14:00 휴게시간",,"09:30 - 18:00
12:00 - 14:00 휴게시간",정기휴무 (매주 목요일),"09:30 - 18:00
12:00 - 14:00 휴게시간",09:30 - 12:00,정기휴무 (매주 일요일),,,
바로척신경외과의원,신경외과,0507-1420-7900,부산 사상구 가야대로 276 엠스퀘어빌딩 6층 (엘리트치과병원 건물),"09:00 - 17:30
12:30 - 14:00 휴게시간",,09:00 - 12:30,"09:00 - 17:30
12:30 - 14:00 휴게시간","09:00 - 17:30
12:30 - 14:00 휴게시간",09:00 - 12:30,정기휴무 (매주 일요일),,,
서강정형외과의원,정형외과,051-327-2223,부산 사상구 낙동대로 776,"09:00 - 18:30
13:00 - 14:00 휴게시간",,"09:00 - 18:30
13:00 - 14:00 휴게시간","09:00 - 18:30
13:00 - 14:00 휴게시간","09:00 - 18:30
13:00 - 14:00 휴게시간",09:00 - 14:00,정기휴무 (매주 일요일),,,
안은영치과의원,치과,051-327-2827,부산 사상구 가야대로 296,"10:00 - 18:00
12:30 - 14:00 휴게시간",,"10:00 - 18:00
12:30 - 14:00 휴게시간","10:00 - 18:00
12:30 - 14:00 휴게시간","10:00 - 18:00
12:30 - 14:00 휴게시간",10:00 - 13:00,정기휴무 (매주 일요일),,,
민정식소아청소년과의원,소아청소년과,051-301-9701,부산 사상구 사상로 293 천냥프라자,09:00 - 18:00,,09:00 - 18:00,09:00 - 18:00,09:00 - 18:00,09:00 - 13:00,정기휴무 (매주 일요일),,,
백양한의원,한의원,051-316-2002,부산 사상구 백양대로 900 백양빌딩,"09:30 - 19:30
13:00 - 14:00 휴게시간
19:00 접수마감",,"09:30 - 19:30
13:00 - 14:00 휴게시간
19:00 접수마감","14:00 - 19:30
19:00 접수마감","09:30 - 19:30
13:00 - 14:00 휴게시간
19:00 접수마감","09:30 - 15:00
14:30 접수마감",정기휴무 (매주 일요일),,,
김상정내과의원,내과,051-327-7575,부산 사상구 백양대로 884 우신모라아파트,09:30 - 18:30,,09:30 - 18:30,09:30 - 18:30,09:30 - 18:30,09:30 - 13:00,정기휴무 (매주 일요일),,,
강철민한의원,한의원,051-314-1723,부산 사상구 운산로 47-1,"10:00 - 19:00
13:00 - 14:30 휴게시간",,"10:30 - 19:00
13:00 - 14:30 휴게시간",정기휴무 (매주 목요일),"10:30 - 19:00
13:00 - 14:30 휴게시간","10:00 - 17:00
13:00 - 14:30 휴게시간",정기휴무 (매주 일요일),,,
기운찬명성마취통증의학과의원,마취통증의학과,051-992-5660,부산 사상구 새벽로 166,09:00 - 19:00,,09:00 - 19:00,09:00 - 19:00,09:00 - 19:00,09:00 - 13:00,정기휴무 (매주 일요일),,,
부산구치소부속의원,"병원,의원",051-309-8705,부산 사상구 학장로 268 (주례동),,,,,,,,,,
사랑의요양병원,요양병원,051-327-9000,부산 사상구 대동로 2,09:00 - 18:00,09:00 - 18:00,09:00 - 18:00,"09:00 - 18:00
접기",09:00 - 18:00,09:00 - 15:00,정보없음,09:00 - 18:00,,
부산센텀치과의원,치과,051-322-7528,부산 사상구 새벽로 228 센텀약국,09:30 - 18:00,,09:30 - 18:00,09:30 - 18:00,09:30 - 18:00,09:30 - 13:00,정기휴무 (매주 일요일),,,
김교진비뇨기과의원,비뇨의학과,051-325-8582,부산 사상구 새벽로 166,"09:00 - 18:30
13:00 - 14:00 휴게시간",,"09:00 - 18:30
13:00 - 14:00 휴게시간","09:00 - 18:30
13:00 - 14:00 휴게시간","09:00 - 18:30
13:00 - 14:00 휴게시간",09:00 - 13:00,정기휴무 (매주 일요일),,,
늘벗한의원,한의원,051-302-6225,부산 사상구 사상로 515 늘벗한의원,"09:30 - 19:00
13:00 - 14:00 휴게시간
18:20 접수마감",,"09:30 - 19:00
13:00 - 14:00 휴게시간
18:20 접수마감","09:30 - 19:00
13:00 - 14:00 휴게시간
18:20 접수마감","09:30 - 19:00
13:00 - 14:00 휴게시간
18:20 접수마감","09:30 - 13:00
12:20 접수마감",정기휴무 (매주 일요일),,,
창명한의원,한의원,051-301-0635,부산 사상구 사상로310번길 9 창명한의원,"09:30 - 18:00
13:00 - 14:00 휴게시간",,"09:30 - 18:00
13:00 - 14:00 휴게시간","09:30 - 18:00
13:00 - 14:00 휴게시간
접기","09:30 - 18:00
13:00 - 14:00 휴게시간",09:00 - 13:00,정기휴무 (매주 일요일),,,
아름다운치과의원,치과,051-323-2875,부산 사상구 사상로 201 사상아울렛 별관 5층,"09:30 - 17:30
13:00 - 14:00 휴게시간
17:00 접수마감",,"09:30 - 12:30
12:00 접수마감","09:30 - 17:30
13:00 - 14:00 휴게시간
17:00 접수마감","09:30 - 17:30
13:00 - 14:00 휴게시간
17:00 접수마감","09:30 - 12:30
12:00 접수마감",정기휴무 (매주 일요일),,,
단디치과의원,치과,051-714-1588,부산 사상구 학감대로 117 (주)세원,,,,,,,,,,
정희내과의원,내과,051-325-9955,부산 사상구 사상로 246,"09:00 - 18:00
13:00 - 14:00 휴게시간",,"09:00 - 18:00
13:00 - 14:00 휴게시간","09:00 - 18:00
13:00 - 14:00 휴게시간","09:00 - 18:00
13:00 - 14:00 휴게시간",09:00 - 13:00,정기휴무 (매주 일요일),,,
봄한의원,한의원,051-321-1075,부산 사상구 가야대로 278-1 3층,"09:00 - 19:00
13:00 - 14:30 휴게시간",,"09:00 - 19:00
13:00 - 14:30 휴게시간",09:00 - 14:00,"09:00 - 19:00
13:00 - 14:30 휴게시간",09:00 - 14:00,정기휴무 (매주 일요일),,,
주례용한의원,한의원,051-327-8275,부산 사상구 가야대로282번길 1,"09:00 - 19:00
13:00 - 14:00 휴게시간",,"09:00 - 19:00
13:00 - 14:00 휴게시간","09:00 - 19:00
13:00 - 14:00 휴게시간","09:00 - 19:00
13:00 - 14:00 휴게시간",09:00 - 13:00,정기휴무 (매주 일요일),,,
허용진내과의원,내과,051-316-3603,부산 사상구 학감대로 120 현재빌딩,"09:00 - 18:00
12:00 - 14:00 휴게시간",,"09:00 - 18:00
12:00 - 14:00 휴게시간","09:00 - 18:00
12:00 - 14:00 휴게시간","09:00 - 18:00
12:00 - 14:00 휴게시간",09:00 - 13:00,정기휴무 (매주 일요일),,,
박경호치과의원,치과,051-322-5093,부산 사상구 가야대로 272-1,"09:00 - 16:00
11:00 - 13:30 휴게시간",,"09:00 - 16:00
11:00 - 13:30 휴게시간","09:00 - 13:00
11:00 - 11:30 휴게시간","09:00 - 13:00
11:00 - 11:30 휴게시간",09:30 - 11:00,정기휴무 (매주 일요일),,,
엄궁치과의원,치과,051-311-5928,부산 사상구 엄궁동 99,09:30 - 20:30,,09:30 - 19:00,09:30 - 20:30,09:30 - 19:00,09:30 - 13:00,정기휴무 (매주 일요일),,,
청남한의원,한의원,051-324-0363,부산 사상구 대동로 91,"09:30 - 19:00
13:00 - 14:00 휴게시간",,"09:30 - 19:00
13:00 - 14:00 휴게시간","정기휴무 (매주 목요일)
접기","09:30 - 19:00
13:00 - 14:00 휴게시간",09:30 - 13:00,정기휴무 (매주 일요일),,,
성심마취통증의학과의원,마취통증의학과,051-305-0061,부산 사상구 사상로 301 성심통증의원,"09:00 - 19:00
13:00 - 14:00 휴게시간",,"09:00 - 17:00
13:00 - 14:00 휴게시간","09:00 - 19:00
13:00 - 14:00 휴게시간","09:00 - 19:00
13:00 - 14:00 휴게시간",09:00 - 14:00,정기휴무 (매주 일요일),,,
장태섭정신건강의학과의원,정신건강의학과,051-313-0795,부산 사상구 광장로 77,"09:30 - 18:00
13:00 - 14:00 휴게시간",,"09:30 - 17:00
13:00 - 14:00 휴게시간","09:30 - 18:00
13:00 - 14:00 휴게시간","09:30 - 18:00
13:00 - 14:00 휴게시간",09:30 - 13:00,정기휴무 (매주 일요일),,,
모라3동 마을건강센터,보건소,051-310-5291,부산 사상구 모라로110번길 99 2층,09:00 - 18:00,09:00 - 18:00,09:00 - 18:00,"09:00 - 18:00
접기",09:00 - 18:00,정보없음,정보없음,09:00 - 18:00,,
