수,목,토(6/3),금,월,병원이름,병원주소,화,화(6/6),토,일,매일,수(6/7),월(6/5),병원종류,전화번호
"09:30 - 18:15
12:30 - 13:30 휴게시간
18:00 접수마감","09:30 - 15:00
14:45 접수마감",,"09:30 - 18:15
12:30 - 13:30 휴게시간
18:00 접수마감","09:30 - 18:15
12:30 - 13:30 휴게시간
18:00 접수마감",우리항외과의원,부산 사상구 사상로 237,"09:30 - 18:15
12:30 - 13:30 휴게시간
18:00 접수마감",,"09:30 - 14:00
13:45 접수마감",정보없음,,,,"대장,항문과",051-323-6612
"09:00 - 21:00
12:30 - 14:00 휴게시간","09:00 - 21:00
12:30 - 14:00 휴게시간",,"09:00 - 21:00
12:30 - 14:00 휴게시간","09:00 - 21:00
12:30 - 14:00 휴게시간",토닥토닥한의원,부산 사상구 사상로 194 3층,,"현충일09:00 - 17:00
12:30 - 14:00 휴게시간","09:00 - 17:00
12:30 - 14:00 휴게시간","09:00 - 17:00
12:30 - 14:00 휴게시간",,,,한의원,0507-1477-8234
"09:00 - 18:00
12:30 - 13:30 휴게시간","09:00 - 18:00
12:30 - 13:30 휴게시간",,"09:00 - 18:00
12:30 - 13:30 휴게시간","09:00 - 18:00
12:30 - 13:30 휴게시간",부산시립정신병원,부산 사상구 학감대로39번길 104-36 부산시립신경정신병원,,현충일 휴무,09:00 - 13:00,정기휴무 (매주 일요일),,,,정신건강의학과,051-312-2288
"09:30 - 19:00
13:00 - 14:00 휴게시간","14:00 - 19:00
접기",,"09:30 - 19:00
13:00 - 14:00 휴게시간","09:30 - 19:00
13:00 - 14:00 휴게시간",소담한의원,부산 사상구 대동로 106 목화아파트상가101호,,현충일09:00 - 13:00,09:00 - 13:00,정기휴무 (매주 일요일),,,,한의원,051-314-4314
"10:00 - 20:00
12:40 - 14:00 휴게시간","10:00 - 20:00
12:40 - 14:00 휴게시간",,"10:00 - 20:00
12:40 - 14:00 휴게시간","10:00 - 20:00
12:40 - 14:00 휴게시간",행복나눔치과의원,부산 사상구 낙동대로 733 롯데마트엄궁점,"10:00 - 20:00
12:40 - 14:00 휴게시간",,10:00 - 14:00,정기휴무 (매주 일요일),,,,치과,051-316-7528
09:00 - 18:30,09:00 - 18:30,,09:00 - 18:30,09:00 - 18:30,윤상경소아청소년과의원,부산 사상구 백양대로 888,,현충일 휴무,09:00 - 13:00,정기휴무 (매주 일요일),,,,소아청소년과,051-317-7575
09:00 - 18:00,09:00 - 19:30,,09:00 - 18:00,09:00 - 18:00,모리아의원,부산 사상구 대동로 46 한나선교교회,,현충일 휴무,09:00 - 14:00,정기휴무 (매주 일요일),,,,내과,051-465-7257
09:00 - 13:00,"09:00 - 18:30
12:30 - 14:00 휴게시간",,"09:00 - 18:30
12:30 - 14:00 휴게시간","09:00 - 18:30
12:30 - 14:00 휴게시간",초록마취통증의학과내과의원,부산 사상구 대동로 95,,현충일 휴무,09:00 - 13:00,정기휴무 (매주 일요일),,,,마취통증의학과,051-311-0100
"09:00 - 18:30
12:30 - 14:00 휴게시간","09:00 - 18:30
12:30 - 14:00 휴게시간",,"09:00 - 18:30
12:30 - 14:00 휴게시간","09:00 - 18:30
12:30 - 14:00 휴게시간",정천규이비인후과의원,부산 사상구 가야대로 296,,현충일 휴무,09:00 - 13:00,정기휴무 (매주 일요일),,,,이비인후과,051-313-3993
,,,,,삼인요양병원,부산 사상구 대동로 95,,,,,,,,요양병원,051-327-3333
"09:30 - 20:00
13:00 - 14:00 휴게시간","09:30 - 18:30
13:00 - 14:00 휴게시간",,"09:30 - 18:30
13:00 - 14:00 휴게시간","09:30 - 18:30
13:00 - 14:00 휴게시간",포근한정신건강의학과의원,부산 사상구 사상로 246,,현충일 휴무,정기휴무 (매주 토요일),정기휴무 (매주 일요일),,,,정신건강의학과,051-717-2353
"09:00 - 18:30
12:40 - 14:00 휴게시간
18:20 접수마감","09:00 - 18:30
12:40 - 14:00 휴게시간
18:20 접수마감",,"09:00 - 18:30
12:40 - 14:00 휴게시간
18:20 접수마감","09:00 - 18:30
12:40 - 14:00 휴게시간
18:20 접수마감",정용학내과의원,부산 사상구 백양대로 900 3층 301호,,현충일09:00 - 12:00,"09:00 - 13:00
12:50 접수마감",정기휴무 (매주 일요일),,,,내과,051-323-7582
"09:00 - 18:30
13:00 - 14:00 휴게시간","09:00 - 18:30
13:00 - 14:00 휴게시간",,"09:00 - 18:30
13:00 - 14:00 휴게시간","09:00 - 18:30
13:00 - 14:00 휴게시간",우리성모안과의원,부산 사상구 낙동대로 786 애진빌딩 2층,,현충일 휴무,09:00 - 13:00,정기휴무 (매주 일요일),,,,안과,0507-1336-8220
"09:00 - 18:00
12:30 - 14:00 휴게시간","09:00 - 18:00
12:30 - 14:00 휴게시간",,"09:00 - 18:00
12:30 - 14:00 휴게시간","09:00 - 18:00
12:30 - 14:00 휴게시간",서현치과의원,부산 사상구 백양대로494번길 12 주례1차동일아파트,,현충일 휴무,09:00 - 13:00,정기휴무 (매주 일요일),,,,치과,051-311-2275
,"09:30 - 20:00
12:30 - 14:00 휴게시간",,"09:30 - 18:30
12:30 - 14:00 휴게시간",,시카고치과의원,부산 사상구 사상로 252 김이태소아과의원,,현충일 휴무,09:30 - 14:00,정기휴무 (매주 일요일),,09:30 - 12:30,휴무,치과,051-314-7019
"09:30 - 18:00
12:30 - 14:00 휴게시간","09:30 - 18:00
12:30 - 14:00 휴게시간",,"09:30 - 18:00
12:30 - 14:00 휴게시간","09:30 - 18:00
12:30 - 14:00 휴게시간",현대부부치과의원,부산 사상구 운산로 31 현대부부치과,,현충일 휴무,09:30 - 12:30,정기휴무 (매주 일요일),,,,치과,0507-1486-2886
"09:30 - 18:00
12:30 - 14:00 휴게시간","09:30 - 18:00
12:30 - 14:00 휴게시간",,"09:30 - 18:00
12:30 - 14:00 휴게시간","09:30 - 18:00
12:30 - 14:00 휴게시간",맥치과의원,부산 사상구 사상로 297,,현충일 휴무,09:30 - 14:00,정기휴무 (매주 일요일),,,,치과,051-303-0028
"09:00 - 18:00
12:30 - 13:30 휴게시간","09:00 - 18:00
12:30 - 13:30 휴게시간",,"09:00 - 18:00
12:30 - 13:30 휴게시간","09:00 - 18:00
12:30 - 13:30 휴게시간",사상스마트병원,부산 사상구 학감대로 269 사상스마트병원,,현충일 휴무,정기휴무 (매주 토요일),정기휴무 (매주 일요일),,,,재활의학과,051-322-3000
"09:00 - 18:00
12:30 - 13:30 휴게시간","09:00 - 18:00
12:30 - 13:30 휴게시간",,"09:00 - 18:00
12:30 - 13:30 휴게시간","09:00 - 18:00
12:30 - 13:30 휴게시간",스마트나라요양병원,부산 사상구 낙동대로 1026,,현충일 휴무,09:00 - 13:00,정기휴무 (매주 일요일),,,,요양병원,051-995-7799
"09:00 - 18:00
12:30 - 13:30 휴게시간","09:00 - 18:00
12:30 - 13:30 휴게시간
접기",,"09:00 - 18:00
12:30 - 13:30 휴게시간","09:00 - 18:00
12:30 - 13:30 휴게시간",큰솔2병원,부산 사상구 학장로 189 학장 큰솔2병원,"09:00 - 18:00
12:30 - 13:30 휴게시간",,09:00 - 13:00,정기휴무 (매주 일요일),,,,재활의학과,0507-1325-0302
"09:30 - 18:30
12:30 - 14:00 휴게시간","09:30 - 18:30
12:30 - 14:00 휴게시간",,"09:30 - 18:30
12:30 - 14:00 휴게시간","09:30 - 18:30
12:30 - 14:00 휴게시간",신모라치과의원,부산 사상구 백양대로 893 궁전빌딩,,현충일 휴무,09:30 - 13:00,정기휴무 (매주 일요일),,,,치과,051-328-1745
"14:00 - 20:30
17:00 - 17:30 휴게시간","09:30 - 18:30
12:30 - 14:00 휴게시간",,"09:30 - 18:30
12:30 - 14:00 휴게시간","09:30 - 18:30
12:30 - 14:00 휴게시간",주례정치과의원,부산 사상구 가야대로 274-3 JJ메디컬센터 3층,,현충일 휴무,09:30 - 13:30,정기휴무 (매주 일요일),,,,치과,051-327-7528
"09:00 - 18:30
12:30 - 14:00 휴게시간
18:10 접수마감","09:00 - 18:30
12:30 - 14:00 휴게시간
18:10 접수마감",,"09:00 - 18:30
12:30 - 14:00 휴게시간
18:10 접수마감","09:00 - 18:30
12:30 - 14:00 휴게시간
18:10 접수마감",모라성모의원,부산 사상구 백양대로 888,,현충일 휴무,"09:00 - 13:00
12:40 접수마감",정기휴무 (매주 일요일),,,,내과,051-311-9702
"09:30 - 18:30
12:30 - 14:00 휴게시간",정기휴무 (매주 목요일),,"09:30 - 18:30
12:30 - 14:00 휴게시간","09:30 - 18:30
12:30 - 14:00 휴게시간",굿모닝유치과의원,부산 사상구 낙동대로 751 2층 203호,,현충일 휴무,09:30 - 14:30,정기휴무 (매주 일요일),,,,치과,051-314-2875
"09:00 - 18:30
12:30 - 14:00 휴게시간","09:00 - 18:30
12:30 - 14:00 휴게시간",,"09:00 - 18:30
12:30 - 14:00 휴게시간","09:00 - 18:30
12:30 - 14:00 휴게시간",서이비인후과의원,부산 사상구 백양대로 893,,현충일 휴무,09:00 - 13:00,정기휴무 (매주 일요일),,,,이비인후과,No phone number available
"10:00 - 20:30
13:00 - 14:00 휴게시간
17:00 - 18:00 휴게시간
12:50, 16:50, 20:20 접수마감","14:00 - 20:30
17:00 - 18:00 휴게시간
16:50, 20:20 접수마감",,"10:00 - 20:30
13:00 - 14:00 휴게시간
17:00 - 18:00 휴게시간
12:50, 16:50, 20:20 접수마감","10:00 - 20:30
13:00 - 14:00 휴게시간
17:00 - 18:00 휴게시간
12:50, 16:50, 20:20 접수마감",온사랑의원,부산 사상구 낙동대로 733 롯데마트 4층,"10:00 - 20:30
13:00 - 14:00 휴게시간
17:00 - 18:00 휴게시간
12:50, 16:50, 20:20 접수마감",,"10:00 - 20:30
13:00 - 14:00 휴게시간
17:00 - 18:00 휴게시간
12:50, 16:50, 20:20 접수마감","10:00 - 20:30
13:00 - 14:00 휴게시간
17:00 - 18:00 휴게시간
12:50, 16:50, 20:20 접수마감",,,,"병원,의원",051-315-7553
,,,,,부산보훈요양병원 (2023년예정),부산 사상구 백양대로 420 보훈병원,,,,,,,,요양병원,051-601-6396
"09:30 - 18:40
12:20 - 14:00 휴게시간","09:30 - 20:00
12:20 - 14:00 휴게시간",,"09:30 - 18:40
12:20 - 14:00 휴게시간","09:30 - 18:40
12:20 - 14:00 휴게시간",예인부부치과의원,부산 사상구 사상로 246,,현충일 휴무,09:30 - 13:00,정기휴무 (매주 일요일),,,,치과,051-314-1400
09:00 - 19:00,"09:00 - 19:00
접기",,09:00 - 19:00,09:00 - 19:00,한결의원,부산 사상구 대동로 109-1,,현충일09:00 - 13:00,09:00 - 17:00,정보없음,,,,정형외과,051-315-8448
"09:30 - 21:00
13:00 - 14:00 휴게시간",정기휴무 (매주 목요일),,"09:30 - 19:00
13:00 - 14:00 휴게시간","09:30 - 19:00
13:00 - 14:00 휴게시간",그린치과의원,부산 사상구 백양대로 886 정예독서실,,현충일 휴무,09:30 - 14:00,정기휴무 (매주 일요일),,,,치과,051-323-2022
,,,,,곽치과의원,부산 사상구 사상로 489-1 곽치과,,,,,,,,치과,051-302-7575
13:00 - 20:00,"09:30 - 18:30
13:00 - 14:00 휴게시간",,"09:30 - 18:30
13:00 - 14:00 휴게시간","09:30 - 18:30
13:00 - 14:00 휴게시간",더편한정신건강의학과의원,부산 사상구 가야대로 272 10층,,현충일 휴무,09:30 - 14:00,정기휴무 (매주 일요일),,,,정신건강의학과,0507-1305-7751
"06:00 - 18:00
17:30 접수마감","06:00 - 15:30
15:00 접수마감",,"06:00 - 18:00
17:30 접수마감","06:00 - 18:00
17:30 접수마감",신우내과의원,부산 사상구 사상로 200 엠시티빌딩,,현충일 휴무,"06:00 - 15:30
15:00 접수마감",정기휴무 (매주 일요일),,,,내과,051-322-4816
"09:00 - 18:00
17:30 접수마감","09:00 - 18:00
17:30 접수마감",,"09:00 - 18:00
17:30 접수마감","09:00 - 18:00
17:30 접수마감",참소망연합의원,부산 사상구 가야대로 300,,현충일 휴무,"09:00 - 13:00
12:30 접수마감",정기휴무 (매주 일요일),,,,소아청소년과,051-315-5339
,,,,,학장성심요양병원,부산 사상구 대동로159번길 9,,,,,,,,요양병원,051-314-2280
"08:00 - 17:00
12:00 - 13:00 휴게시간","08:00 - 17:00
12:00 - 13:00 휴게시간
접기",,"08:00 - 17:00
12:00 - 13:00 휴게시간","08:00 - 17:00
12:00 - 13:00 휴게시간",생명선의원,"부산 사상구 사상로 194 괘법동메디컬센터 10층, 11층","08:00 - 17:00
12:00 - 13:00 휴게시간",,"09:00 - 14:00
12:00 - 13:00 휴게시간",정기휴무 (매주 일요일),,,,흉부외과,051-325-0119
09:00 - 19:00,09:00 - 19:00,,09:00 - 19:00,09:00 - 19:00,한세신경외과의원,부산 사상구 새벽로 163,,현충일 휴무,09:00 - 13:00,정기휴무 (매주 일요일),,,,신경외과,051-325-2060
"09:00 - 19:00
13:00 - 14:00 휴게시간",09:00 - 13:00,,"09:00 - 19:00
13:00 - 14:00 휴게시간","09:00 - 19:00
13:00 - 14:00 휴게시간",척바로마취통증의학과의원,부산 사상구 사상로 235 3층,,현충일 휴무,09:00 - 14:00,정기휴무 (매주 일요일),,,,정형외과,0507-1491-0069
"10:00 - 19:30
13:00 - 14:30 휴게시간","10:00 - 19:30
13:00 - 14:30 휴게시간",,"10:00 - 19:30
13:00 - 14:30 휴게시간","10:00 - 19:30
13:00 - 14:30 휴게시간",이앤이치과의원,부산 사상구 광장로 17 이마트 3층,,현충일10:00 - 17:00,10:00 - 17:00,10:00 - 17:00,,,,치과,0507-1387-7528
"09:00 - 18:00
13:00 - 14:00 휴게시간","09:00 - 18:00
13:00 - 14:00 휴게시간",,"09:00 - 18:00
13:00 - 14:00 휴게시간","09:00 - 18:00
13:00 - 14:00 휴게시간",참좋은내과의원,부산 사상구 백양대로 893 궁전빌딩 6층 601호 (모라동),,현충일 휴무,09:00 - 14:00,정기휴무 (매주 일요일),,,,"병원,의원",051-947-1000
16:00 - 19:00,"09:30 - 18:00
13:00 - 14:30 휴게시간",,"09:30 - 18:00
13:00 - 14:30 휴게시간","09:30 - 18:00
13:00 - 14:30 휴게시간",열린치과의원,부산 사상구 덕상로 14 대원빌딩,,현충일 휴무,09:30 - 13:00,정기휴무 (매주 일요일),,,,치과,051-305-2879
"09:00 - 18:30
12:40 - 14:00 휴게시간","09:00 - 18:30
12:40 - 14:00 휴게시간",,"09:00 - 18:30
12:40 - 14:00 휴게시간","09:00 - 18:30
12:40 - 14:00 휴게시간",연세김의원,부산 사상구 새벽시장로 70 보정프라자,,현충일 휴무,09:00 - 13:00,정기휴무 (매주 일요일),,,,내과,051-311-8275
"09:00 - 18:30
13:00 - 14:00 휴게시간",14:00 - 18:30,,"09:00 - 18:30
13:00 - 14:00 휴게시간","09:00 - 18:30
13:00 - 14:00 휴게시간",바른재활의학과의원,부산 사상구 가야대로 272,,현충일 휴무,09:00 - 13:00,정기휴무 (매주 일요일),,,,재활의학과,0507-1339-1553
"08:30 - 17:00
12:00 - 13:00 휴게시간","08:30 - 17:00
12:00 - 13:00 휴게시간",,"08:30 - 17:00
12:00 - 13:00 휴게시간","08:30 - 17:00
12:00 - 13:00 휴게시간",이너피스한방병원,부산 사상구 백양대로804번길 36 이너피스한방병원,,현충일 휴무,08:30 - 12:30,정기휴무 (매주 일요일),,,,한방병원,051-302-1100
09:00 - 19:00,09:00 - 19:00,,09:00 - 19:00,09:00 - 19:00,조은의원,부산 사상구 새벽로168번길 51 조은의원,,현충일 휴무,09:00 - 13:00,정기휴무 (매주 일요일),,,,"병원,의원",0507-1348-4042
"09:00 - 17:30
12:30 - 14:00 휴게시간
17:20 접수마감","09:00 - 17:30
12:30 - 14:00 휴게시간
17:20 접수마감",,"09:00 - 17:30
12:30 - 14:00 휴게시간
17:20 접수마감","09:00 - 17:30
12:30 - 14:00 휴게시간
17:20 접수마감",우일의원,부산 사상구 백양대로494번길 12,,현충일 휴무,"09:00 - 12:30
12:20 접수마감",정기휴무 (매주 일요일),,,,가정의학과,051-326-1411
"09:30 - 18:30
13:00 - 14:00 휴게시간","09:30 - 18:30
13:00 - 14:00 휴게시간
접기",,"09:30 - 18:30
13:00 - 14:00 휴게시간","09:30 - 18:30
13:00 - 14:00 휴게시간",삼대한의원,부산 사상구 사상로 149,,현충일09:30 - 13:00,09:30 - 13:00,정기휴무 (매주 일요일),,,,한의원,051-328-1133
"09:00 - 19:00
13:00 - 14:00 휴게시간",14:00 - 19:00,,"09:00 - 19:00
13:00 - 14:00 휴게시간","09:00 - 19:00
13:00 - 14:00 휴게시간",부산신경외과의원,부산 사상구 낙동대로 786,,현충일 휴무,09:00 - 14:00,정기휴무 (매주 일요일),,,,신경외과,051-715-3301
"09:30 - 18:30
12:30 - 14:00 휴게시간","09:30 - 18:30
12:30 - 14:00 휴게시간",,"09:30 - 18:30
12:30 - 14:00 휴게시간","09:30 - 18:30
12:30 - 14:00 휴게시간",민강한의원,부산 사상구 백양대로 490 동일1차 아파트상가 2층,,현충일 휴무,09:30 - 14:00,정기휴무 (매주 일요일),,,,한의원,051-312-3121
"09:00 - 18:20
12:50 - 14:10 휴게시간","09:00 - 18:20
12:50 - 14:10 휴게시간",,"09:00 - 18:20
12:50 - 14:10 휴게시간","09:00 - 18:20
12:50 - 14:10 휴게시간",학장성심의원,부산 사상구 대동로 159,,현충일 휴무,09:00 - 13:00,정기휴무 (매주 일요일),,,,정형외과,0507-1423-2290
"09:30 - 18:30
12:30 - 14:00 휴게시간","09:30 - 18:30
12:30 - 14:00 휴게시간",,"09:30 - 18:30
12:30 - 14:00 휴게시간","09:30 - 18:30
12:30 - 14:00 휴게시간",고운이치과의원,부산 사상구 낙동대로 786 애진빌딩 4층 고운e치과,,현충일 휴무,정기휴무 (매주 토요일),정기휴무 (매주 일요일),,,,치과,0507-1308-7528
09:00 - 17:00,09:00 - 17:00,,09:00 - 17:00,09:00 - 17:00,의료법인 길정의료재단 대남병원 길정병원,부산 사상구 학감대로39번길 116,,현충일 휴무,정기휴무 (매주 토요일),정기휴무 (매주 일요일),,,,"병원,의원",051-324-2227
"09:00 - 18:30
12:30 - 14:00 휴게시간","09:00 - 18:30
12:30 - 14:00 휴게시간",,"09:00 - 18:30
12:30 - 14:00 휴게시간","09:00 - 18:30
12:30 - 14:00 휴게시간",연세내과의원,부산 사상구 사상로 287,,현충일 휴무,09:00 - 13:00,정기휴무 (매주 일요일),,,,내과,051-303-6894
,,,,,길의원,부산 사상구 사상로 517 뉴월드직업전문학교,,,,,,,,내과,051-302-1117
"09:00 - 18:30
12:45 - 14:00 휴게시간","09:00 - 18:30
12:45 - 14:00 휴게시간",,"09:00 - 18:30
12:45 - 14:00 휴게시간","09:00 - 18:30
12:45 - 14:00 휴게시간",배현호내과의원,부산 사상구 낙동대로 774,,현충일 휴무,09:00 - 13:00,정기휴무 (매주 일요일),,,,내과,051-328-0075
09:00 - 12:00,"09:00 - 18:30
13:00 - 14:00 휴게시간",,"09:00 - 18:30
13:00 - 14:00 휴게시간","09:00 - 18:30
13:00 - 14:00 휴게시간",가야신경정신과의원,부산 사상구 가야대로 288,,현충일 휴무,09:00 - 12:00,정기휴무 (매주 일요일),,,,정신건강의학과,051-322-1300
09:00 - 18:30,09:00 - 18:30,,09:00 - 18:30,09:00 - 18:30,김내과의원,부산 사상구 대동로 94 학장반도보라타운,,현충일 휴무,09:00 - 13:00,정기휴무 (매주 일요일),,,,내과,051-322-9210
"09:30 - 20:00
13:00 - 14:30 휴게시간",09:30 - 13:00,,"09:30 - 19:00
13:00 - 14:30 휴게시간","09:30 - 19:00
13:00 - 14:30 휴게시간",고운치과의원,부산 사상구 사상로 236,,현충일 휴무,09:30 - 13:00,정기휴무 (매주 일요일),,,,치과,051-315-2080
정기휴무 (매주 수요일),"09:30 - 18:00
13:00 - 14:30 휴게시간",,"09:30 - 18:00
13:00 - 14:30 휴게시간","09:30 - 18:00
13:00 - 14:30 휴게시간",노창진치과의원,부산 사상구 냉정로 115-1,,현충일 휴무,09:30 - 13:00,정기휴무 (매주 일요일),,,,치과,051-312-6425
09:30 - 18:30,09:30 - 18:30,,09:30 - 18:30,09:30 - 18:30,순산부인과의원,부산 사상구 가야대로 288,,현충일 휴무,09:30 - 14:00,정기휴무 (매주 일요일),,,,산부인과,051-323-0555
"10:00 - 20:00
13:00 - 14:00 휴게시간
12:30, 19:30 접수마감","10:00 - 20:00
13:00 - 14:00 휴게시간
12:30, 19:30 접수마감",,"10:00 - 20:00
13:00 - 14:00 휴게시간
12:30, 19:30 접수마감","10:00 - 20:00
13:00 - 14:00 휴게시간
12:30, 19:30 접수마감",예담한의원,부산 사상구 낙동대로 733 롯데마트 사상점 4층 예담한의원,,"현충일10:00 - 17:00
13:00 - 14:00 휴게시간","10:00 - 17:00
13:00 - 14:00 휴게시간
12:30, 16:30 접수마감","10:00 - 17:00
13:00 - 14:00 휴게시간
12:30, 16:30 접수마감",,,,한의원,051-403-4080
,,,,,사회복지법인한국혈우재단부산의원,부산 사상구 가야대로 272 메디칼센터 7층,,,,,,,,내과,051-328-6611
,,,,,강림요양병원,부산 사상구 낙동대로 792,,,,,,,,요양병원,051-329-9000
"09:00 - 18:00
12:30 - 13:30 휴게시간
17:30 접수마감","09:00 - 18:00
12:30 - 13:30 휴게시간
17:30 접수마감",,"09:00 - 18:00
12:30 - 13:30 휴게시간
17:30 접수마감","09:00 - 18:00
12:30 - 13:30 휴게시간
17:30 접수마감",김판석정형외과의원,부산 사상구 사상로 359,,현충일 휴무,"09:00 - 13:00
12:30 접수마감",정기휴무 (매주 일요일),,,,정형외과,051-302-1011
"09:00 - 18:00
13:00 - 14:00 휴게시간",09:00 - 13:00,,"09:00 - 18:00
13:00 - 14:00 휴게시간","09:00 - 18:00
13:00 - 14:00 휴게시간",팔팔마취통증의학과의원,부산 사상구 가야대로 272-1 2층,,현충일 휴무,09:00 - 13:00,정기휴무 (매주 일요일),,,,마취통증의학과,051-311-7301
,,,,,선린태항외과의원,부산 사상구 가야대로 272-1,,,,,,,,외과,051-335-1119
09:00 - 18:00,14:00 - 18:00,,09:00 - 18:00,09:00 - 18:00,김용준소아청소년과의원,부산 사상구 가야대로 288,,현충일 휴무,09:00 - 13:00,정기휴무 (매주 일요일),,,,소아청소년과,0507-1441-6012
"09:30 - 18:00
12:00 - 14:00 휴게시간",정기휴무 (매주 목요일),,"09:30 - 18:00
12:00 - 14:00 휴게시간","09:30 - 18:00
12:00 - 14:00 휴게시간",해맑은치과의원,부산 사상구 학감대로 120 현재빌딩,,현충일 휴무,09:30 - 12:00,정기휴무 (매주 일요일),,,,치과,051-322-1928
09:00 - 12:30,"09:00 - 17:30
12:30 - 14:00 휴게시간",,"09:00 - 17:30
12:30 - 14:00 휴게시간","09:00 - 17:30
12:30 - 14:00 휴게시간",바로척신경외과의원,부산 사상구 가야대로 276 엠스퀘어빌딩 6층 (엘리트치과병원 건물),,현충일 휴무,09:00 - 12:30,정기휴무 (매주 일요일),,,,신경외과,0507-1420-7900
"09:00 - 18:30
13:00 - 14:00 휴게시간","09:00 - 18:30
13:00 - 14:00 휴게시간",,"09:00 - 18:30
13:00 - 14:00 휴게시간","09:00 - 18:30
13:00 - 14:00 휴게시간",서강정형외과의원,부산 사상구 낙동대로 776,,현충일 휴무,09:00 - 14:00,정기휴무 (매주 일요일),,,,정형외과,051-327-2223
"10:00 - 18:00
12:30 - 14:00 휴게시간","10:00 - 18:00
12:30 - 14:00 휴게시간",,"10:00 - 18:00
12:30 - 14:00 휴게시간","10:00 - 18:00
12:30 - 14:00 휴게시간",안은영치과의원,부산 사상구 가야대로 296,,현충일 휴무,10:00 - 13:00,정기휴무 (매주 일요일),,,,치과,051-327-2827
09:00 - 18:00,09:00 - 18:00,,09:00 - 18:00,09:00 - 18:00,민정식소아청소년과의원,부산 사상구 사상로 293 천냥프라자,,현충일 휴무,09:00 - 13:00,정기휴무 (매주 일요일),,,,소아청소년과,051-301-9701
"09:30 - 19:30
13:00 - 14:00 휴게시간
19:00 접수마감","14:00 - 19:30
19:00 접수마감",,"09:30 - 19:30
13:00 - 14:00 휴게시간
19:00 접수마감","09:30 - 19:30
13:00 - 14:00 휴게시간
19:00 접수마감",백양한의원,부산 사상구 백양대로 900 백양빌딩,,현충일 휴무,"09:30 - 15:00
14:30 접수마감",정기휴무 (매주 일요일),,,,한의원,051-316-2002
09:30 - 18:30,09:30 - 18:30,,09:30 - 18:30,09:30 - 18:30,김상정내과의원,부산 사상구 백양대로 884 우신모라아파트,,현충일 휴무,09:30 - 13:00,정기휴무 (매주 일요일),,,,내과,051-327-7575
"10:30 - 19:00
13:00 - 14:30 휴게시간",정기휴무 (매주 목요일),,"10:30 - 19:00
13:00 - 14:30 휴게시간","10:00 - 19:00
13:00 - 14:30 휴게시간",강철민한의원,부산 사상구 운산로 47-1,,현충일 휴무,"10:00 - 17:00
13:00 - 14:30 휴게시간",정기휴무 (매주 일요일),,,,한의원,051-314-1723
09:00 - 19:00,09:00 - 19:00,,09:00 - 19:00,09:00 - 19:00,기운찬명성마취통증의학과의원,부산 사상구 새벽로 166,,현충일 휴무,09:00 - 13:00,정기휴무 (매주 일요일),,,,마취통증의학과,051-992-5660
,,,,,부산구치소부속의원,부산 사상구 학장로 268 (주례동),,,,,,,,"병원,의원",051-309-8705
09:00 - 18:00,"09:00 - 18:00
접기",,09:00 - 18:00,09:00 - 18:00,사랑의요양병원,부산 사상구 대동로 2,09:00 - 18:00,,09:00 - 15:00,정보없음,,,,요양병원,051-327-9000
09:30 - 18:00,09:30 - 18:00,,09:30 - 18:00,09:30 - 18:00,부산센텀치과의원,부산 사상구 새벽로 228 센텀약국,,현충일 휴무,09:30 - 13:00,정기휴무 (매주 일요일),,,,치과,051-322-7528
"09:00 - 18:30
13:00 - 14:00 휴게시간","09:00 - 18:30
13:00 - 14:00 휴게시간",,"09:00 - 18:30
13:00 - 14:00 휴게시간","09:00 - 18:30
13:00 - 14:00 휴게시간",김교진비뇨기과의원,부산 사상구 새벽로 166,,현충일 휴무,09:00 - 13:00,정기휴무 (매주 일요일),,,,비뇨의학과,051-325-8582
"09:30 - 19:00
13:00 - 14:00 휴게시간
18:20 접수마감","09:30 - 19:00
13:00 - 14:00 휴게시간
18:20 접수마감",,"09:30 - 19:00
13:00 - 14:00 휴게시간
18:20 접수마감","09:30 - 19:00
13:00 - 14:00 휴게시간
18:20 접수마감",늘벗한의원,부산 사상구 사상로 515 늘벗한의원,,현충일 휴무,"09:30 - 13:00
12:20 접수마감",정기휴무 (매주 일요일),,,,한의원,051-302-6225
"09:30 - 18:00
13:00 - 14:00 휴게시간","09:30 - 18:00
13:00 - 14:00 휴게시간
접기",,"09:30 - 18:00
13:00 - 14:00 휴게시간","09:30 - 18:00
13:00 - 14:00 휴게시간",창명한의원,부산 사상구 사상로310번길 9 창명한의원,,현충일09:00 - 17:00,09:00 - 13:00,정기휴무 (매주 일요일),,,,한의원,051-301-0635
"09:30 - 12:30
12:00 접수마감","09:30 - 17:30
13:00 - 14:00 휴게시간
17:00 접수마감",,"09:30 - 17:30
13:00 - 14:00 휴게시간
17:00 접수마감","09:30 - 17:30
13:00 - 14:00 휴게시간
17:00 접수마감",아름다운치과의원,부산 사상구 사상로 201 사상아울렛 별관 5층,,현충일 휴무,"09:30 - 12:30
12:00 접수마감",정기휴무 (매주 일요일),,,,치과,051-323-2875
,,,,,단디치과의원,부산 사상구 학감대로 117 (주)세원,,,,,,,,치과,051-714-1588
