병원이름,병원종류,전화번호,병원주소,월,화,수,목,금,토,일,영업시간,쉬는시간,접수마감
에일린여성의원,산부인과,0507-1421-1008,부산 동래구 사직북로 6 8층,"09:00 - 18:00
13:00 - 14:00 휴게시간",,"09:00 - 19:00
13:00 - 14:00 휴게시간",09:00 - 13:00,"09:00 - 18:00
13:00 - 14:00 휴게시간",09:00 - 13:00,정기휴무 (매주 일요일),,,
디움의원,피부과,0507-1335-8276,부산 동래구 반송로 353,,,정기휴무 (매주 수요일),"10:00 - 19:00
13:00 - 14:00 휴게시간
17:30 접수마감","10:00 - 19:00
13:00 - 14:00 휴게시간
17:30 접수마감","10:00 - 17:00
13:00 - 14:00 휴게시간
15:30 접수마감",정기휴무 (매주 일요일),,,
숭인정신건강의학과의원,정신건강의학과,051-554-9777,부산 동래구 중앙대로 1325,"09:30 - 20:00
13:00 - 14:00 휴게시간",,"09:30 - 21:00
13:00 - 14:00 휴게시간","09:30 - 18:00
13:00 - 14:00 휴게시간","09:30 - 18:00
13:00 - 14:00 휴게시간",정기휴무 (매주 토요일),정기휴무 (매주 일요일),,,
미드림필피부과의원,피부과,051-553-9191,부산 동래구 충렬대로238번길 7 성완 세띠앙,"09:30 - 18:30
13:00 - 14:30 휴게시간",,"09:30 - 18:30
13:00 - 14:30 휴게시간",14:30 - 20:00,"09:30 - 18:30
13:00 - 14:30 휴게시간",09:30 - 13:30,정기휴무 (매주 일요일),,,
류마편한내과의원,내과,051-710-8275,부산 동래구 충렬대로 160 창림빌딩 3층,"09:00 - 18:00
13:00 - 14:00 휴게시간",,09:00 - 13:00,"09:00 - 20:00
13:00 - 14:00 휴게시간","09:00 - 18:00
13:00 - 14:00 휴게시간",09:00 - 13:00,정기휴무 (매주 일요일),,,
삼성정형외과의원,정형외과,051-583-7656,부산 동래구 금강공원로 8-1,"09:00 - 18:30
13:00 - 14:00 휴게시간",,"09:00 - 18:30
13:00 - 14:00 휴게시간","09:00 - 18:30
13:00 - 14:00 휴게시간
접기","09:00 - 18:30
13:00 - 14:00 휴게시간",09:00 - 13:00,정기휴무 (매주 일요일),,,
조은눈안과의원,안과,051-896-0005,부산 동래구 온천장로 123-1 드림메디칼빌딩 5층,"09:00 - 18:30
13:00 - 14:00 휴게시간",,09:00 - 13:00,"09:00 - 18:30
13:00 - 14:00 휴게시간","09:00 - 18:30
13:00 - 14:00 휴게시간",09:00 - 13:00,정기휴무 (매주 일요일),,,
이내과의원,내과,051-523-0300,부산 동래구 안연로 64,"08:40 - 18:00
12:30 - 14:00 휴게시간",,"08:40 - 18:00
12:30 - 14:00 휴게시간","08:40 - 18:00
12:30 - 14:00 휴게시간","08:40 - 18:00
12:30 - 14:00 휴게시간",08:40 - 12:30,정기휴무 (매주 일요일),,,
강병구정신건강의학과의원,정신건강의학과,051-504-3171,부산 동래구 충렬대로 132,"09:00 - 18:30
12:30 - 14:00 휴게시간",,"09:00 - 18:30
12:30 - 14:00 휴게시간",14:00 - 21:00,"09:00 - 18:30
12:30 - 14:00 휴게시간",09:00 - 14:00,정기휴무 (매주 일요일),,,
안락센텀안과의원,안과,051-531-1001,부산 동래구 충렬대로 415 신협건물 5층,,,"09:00 - 18:30
13:00 - 14:00 휴게시간","09:00 - 18:30
13:00 - 14:00 휴게시간","09:00 - 18:30
13:00 - 14:00 휴게시간",09:00 - 13:00,정기휴무 (매주 일요일),,,
바른안과의원,안과,0507-1414-7587,부산 동래구 충렬대로 160 창림빌딩 2층,"09:00 - 18:00
13:00 - 14:00 휴게시간
17:30 접수마감",,"09:00 - 18:00
13:00 - 14:00 휴게시간
17:30 접수마감","09:00 - 18:00
13:00 - 14:00 휴게시간
17:30 접수마감","09:00 - 18:00
13:00 - 14:00 휴게시간
17:30 접수마감","09:00 - 13:00
12:30 접수마감",정기휴무 (매주 일요일),,,
동래우리들병원,신경외과,051-559-5000,부산 동래구 충렬대로 286 동래우리들병원,"09:30 - 18:00
12:30 - 14:00 휴게시간",,"09:30 - 18:00
12:30 - 14:00 휴게시간","09:30 - 18:00
12:30 - 14:00 휴게시간","09:30 - 18:00
12:30 - 14:00 휴게시간",09:30 - 13:00,정기휴무 (매주 일요일),,,
김덕하피부과의원,피부과,051-529-0265,부산 동래구 충렬대로 431,"09:00 - 18:00
13:00 - 14:00 휴게시간
17:30 접수마감",,"09:00 - 13:00
12:30 접수마감","09:00 - 18:00
13:00 - 14:00 휴게시간
17:30 접수마감","09:00 - 18:00
13:00 - 14:00 휴게시간
17:30 접수마감","09:00 - 13:00
12:30 접수마감",정기휴무 (매주 일요일),,,
사직에이스치과의원,치과,0507-1470-2294,부산 동래구 아시아드대로 149-1 4층,"09:30 - 18:30
13:00 - 14:30 휴게시간",,"09:30 - 18:30
13:00 - 14:30 휴게시간","09:30 - 18:30
13:00 - 14:30 휴게시간","09:30 - 18:30
13:00 - 14:30 휴게시간",09:30 - 13:30,정기휴무 (매주 일요일),,,
시온비에스치과교정과치과의원,치과,051-505-2275,"부산 동래구 아시아드대로 179 5층,7층",,,"10:00 - 19:00
13:00 - 14:30 휴게시간","10:00 - 19:00
13:00 - 14:30 휴게시간","10:00 - 19:00
13:00 - 14:30 휴게시간",09:30 - 14:00,정기휴무 (매주 일요일),,,
늘봄내과의원,내과,051-961-8200,"부산 동래구 충렬대로 413 승연메디칼타워 8, 9, 10층","09:00 - 19:00
13:00 - 14:00 휴게시간",,"09:00 - 19:00
13:00 - 14:00 휴게시간","09:00 - 18:00
접기","09:00 - 19:00
13:00 - 14:00 휴게시간",09:00 - 13:00,정기휴무 (매주 일요일),,,
강선영산부인과의원,산부인과,051-553-7500,부산 동래구 충렬대로 239 수안 메디칼센터 3층,"09:00 - 18:00
13:00 - 14:00 휴게시간",,09:00 - 13:00,"09:00 - 18:00
13:00 - 14:00 휴게시간","09:00 - 18:00
13:00 - 14:00 휴게시간",정기휴무 (매주 토요일),정기휴무 (매주 일요일),,,
생림한의원,한의원,051-523-6590,부산 동래구 충렬사로 86,"09:30 - 18:00
12:30 - 14:00 휴게시간",,"09:30 - 18:00
12:30 - 14:00 휴게시간","정기휴무 (매주 목요일)
접기","09:30 - 18:00
12:30 - 14:00 휴게시간","09:30 - 16:00
12:30 - 14:00 휴게시간",정기휴무 (매주 일요일),,,
사직마디의원,마취통증의학과,0507-1415-0306,부산 동래구 사직북로 25-1 늘편한메디컬센터 4층,"09:30 - 19:00
13:00 - 14:30 휴게시간
18:30 접수마감",,"09:30 - 13:30
13:00 접수마감","09:30 - 19:00
13:00 - 14:30 휴게시간
18:30 접수마감","09:30 - 19:00
13:00 - 14:30 휴게시간
18:30 접수마감","09:30 - 13:30
13:00 접수마감",정기휴무 (매주 일요일),,,
명장한의원,한의원,0507-1323-2501,부산 동래구 명장로 48 3층,"09:00 - 19:00
13:00 - 14:00 휴게시간",,"09:00 - 19:00
13:00 - 14:00 휴게시간","09:00 - 19:00
13:00 - 14:00 휴게시간","09:00 - 19:00
13:00 - 14:00 휴게시간",09:00 - 14:00,정기휴무 (매주 일요일),,,
정무철정형외과의원,정형외과,051-554-5500,부산 동래구 동래로 25 3층,"09:00 - 18:30
12:30 - 14:00 휴게시간
18:20 접수마감",,"09:00 - 18:30
12:30 - 14:00 휴게시간
18:20 접수마감","09:00 - 18:30
12:30 - 14:00 휴게시간
18:20 접수마감","09:00 - 18:30
12:30 - 14:00 휴게시간
18:20 접수마감","09:00 - 12:30
12:20 접수마감","00:00 - 00:10
00:00 접수마감",,,
좋은애인요양병원,요양병원,0507-1401-7705,부산 동래구 충렬대로359번길 8,09:00 - 18:00,,09:00 - 17:00,09:00 - 17:00,09:00 - 17:00,09:00 - 13:00,정기휴무 (매주 일요일),,,
부산대동병원장례식장,장례식장,051-550-9991,부산 동래구 충렬대로359번길 8,,,,,,,,,,
하이마취통증의학과의원,정형외과,051-523-5575,"부산 동래구 충렬대로 415 6층, 7층","09:00 - 19:00
13:00 - 14:00 휴게시간",,"09:00 - 20:30
13:00 - 14:00 휴게시간","09:00 - 19:00
13:00 - 14:00 휴게시간","09:00 - 19:00
13:00 - 14:00 휴게시간",09:00 - 14:00,정기휴무 (매주 일요일),,,
다나은의원,가정의학과,051-532-3235,부산 동래구 안연로 88 광민빌딩 3층,09:00 - 18:30,,09:00 - 18:30,09:00 - 18:30,09:00 - 18:30,09:00 - 13:00,정기휴무 (매주 일요일),,,
연세온치과의원,치과,051-951-1000,부산 동래구 온천장로 114 허브메디컬타워 9층,,,"09:30 - 18:30
13:00 - 14:00 휴게시간
18:00 접수마감","09:30 - 18:30
13:00 - 14:00 휴게시간
18:00 접수마감","09:30 - 13:00
12:30 접수마감",,,,,
부산제일안과의원,안과,051-553-1473,부산 동래구 중앙대로 1325 이센타워,"09:00 - 18:00
13:00 - 14:00 휴게시간",,09:00 - 13:00,"09:00 - 18:00
13:00 - 14:00 휴게시간","09:00 - 18:00
13:00 - 14:00 휴게시간",09:00 - 12:00,정기휴무 (매주 일요일),,,
연수소아과의원,소아청소년과,051-554-3945,부산 동래구 충렬대로107번길 54,"09:00 - 17:00
12:30 - 14:00 휴게시간","09:00 - 17:00
12:30 - 14:00 휴게시간",09:00 - 16:00,"09:00 - 17:00
12:30 - 14:00 휴게시간
접기","09:00 - 17:00
12:30 - 14:00 휴게시간",09:00 - 12:30,정기휴무 (매주 일요일),09:00 - 17:00,12:30 - 14:00 ,
김경우정신건강의학과의원,정신건강의학과,0507-1418-1276,부산 동래구 온천장로 1 제501호,"10:00 - 18:30
13:00 - 14:00 휴게시간
12:30, 18:00 접수마감",,"10:00 - 18:30
13:00 - 14:00 휴게시간
12:30, 18:00 접수마감","15:00 - 20:30
20:00 접수마감","10:00 - 18:30
13:00 - 14:00 휴게시간
12:30, 18:00 접수마감","10:00 - 14:00
13:30 접수마감",정기휴무 (매주 일요일),,,
편한치과의원,치과,051-522-0701,부산 동래구 명장로 48 4층,"09:30 - 18:00
13:00 - 14:00 휴게시간
17:30 접수마감",,정기휴무 (매주 수요일),"09:30 - 18:00
13:00 - 14:00 휴게시간
17:30 접수마감","09:30 - 18:00
13:00 - 14:00 휴게시간
17:30 접수마감","09:30 - 12:30
12:00 접수마감",정기휴무 (매주 일요일),,,
포근한소아청소년과의원,소아청소년과,0507-1436-8029,부산 동래구 사직북로19번길 20 2층 포근한소아청소년과의원,"09:00 - 19:00
13:00 - 14:30 휴게시간",,09:00 - 13:00,"09:00 - 19:00
13:00 - 14:30 휴게시간","09:00 - 19:00
13:00 - 14:30 휴게시간",09:00 - 13:00,정기휴무 (매주 일요일),,,
좋은마취통증의학과의원,마취통증의학과,051-506-9775,부산 동래구 아시아드대로 179,"09:00 - 18:00
12:30 - 14:00 휴게시간
17:50 접수마감",,"09:00 - 18:00
12:30 - 14:00 휴게시간
17:50 접수마감","09:00 - 18:00
12:30 - 14:00 휴게시간
17:50 접수마감","09:00 - 18:00
12:30 - 14:00 휴게시간
17:50 접수마감","09:00 - 13:00
12:50 접수마감",정기휴무 (매주 일요일),,,
우리사직의원,가정의학과,051-503-7582,부산 동래구 사직로 80 쌍용예가1차 222동 상가303호,"09:00 - 18:30
12:30 - 14:00 휴게시간",,"09:00 - 18:30
12:30 - 14:00 휴게시간","09:00 - 18:30
12:30 - 14:00 휴게시간","09:00 - 18:30
12:30 - 14:00 휴게시간",09:00 - 14:00,정기휴무 (매주 일요일),,,
심피부과의원,피부과,0507-1336-8275,부산 동래구 충렬대로 413 승연메디칼타워 7층,"09:00 - 18:30
12:30 - 14:00 휴게시간",,"09:00 - 18:30
12:30 - 14:00 휴게시간",14:00 - 18:30,"09:00 - 20:00
12:30 - 14:00 휴게시간",09:00 - 14:00,정기휴무 (매주 일요일),,,
씨에스의원,"병원,의원",051-717-2972,"부산 동래구 명륜로 161 네오앤바하 5층, 6층","09:00 - 18:00
12:00 - 13:00 휴게시간",,"09:00 - 18:00
12:00 - 13:00 휴게시간","09:00 - 18:00
12:00 - 13:00 휴게시간","09:00 - 18:00
12:00 - 13:00 휴게시간",09:00 - 13:00,정기휴무 (매주 일요일),,,
삼성연합의원,"병원,의원",051-504-7582,부산 동래구 여고북로 160,"09:00 - 19:00
13:00 - 14:00 휴게시간",,"09:00 - 21:00
13:00 - 14:00 휴게시간","09:00 - 19:00
13:00 - 14:00 휴게시간","09:00 - 21:00
13:00 - 14:00 휴게시간",09:00 - 13:00,정기휴무 (매주 일요일),,,
유디동래치과의원,치과,051-558-6200,부산 동래구 충렬대로 256 이수빌딩 4층,,,"09:30 - 18:30
13:00 - 14:00 휴게시간","09:30 - 18:30
13:00 - 14:00 휴게시간","09:30 - 18:30
13:00 - 14:00 휴게시간",09:30 - 14:30,정기휴무 (매주 일요일),,,
김진동 삼성내과의원,내과,0507-1379-7790,부산 동래구 안연로 74 무여빌딩 3층,"08:30 - 18:30
12:30 - 14:00 휴게시간",,"08:30 - 18:30
12:30 - 14:00 휴게시간","08:30 - 18:30
12:30 - 14:00 휴게시간","08:30 - 18:30
12:30 - 14:00 휴게시간",08:30 - 13:00,,,,
조준만이비인후과의원,이비인후과,051-558-0035,부산 동래구 명륜로 191,"09:00 - 18:30
12:30 - 14:00 휴게시간",,"09:00 - 18:30
12:30 - 14:00 휴게시간","09:00 - 18:30
12:30 - 14:00 휴게시간","09:00 - 18:30
12:30 - 14:00 휴게시간",09:00 - 13:30,정기휴무 (매주 일요일),,,
참편한치과의원,치과,051-529-7528,부산 동래구 연안로 49 삼영빌딩,"09:30 - 18:30
12:30 - 14:00 휴게시간",,"09:30 - 18:30
12:30 - 14:00 휴게시간",14:00 - 18:30,"09:30 - 18:30
12:30 - 14:00 휴게시간",09:30 - 13:00,정기휴무 (매주 일요일),,,
더바른구강내과치과의원,치과,0507-1325-0215,부산 동래구 충렬대로 207 대동아카데미 2층,"10:00 - 18:30
12:30 - 14:00 휴게시간",,"10:00 - 18:30
12:30 - 14:00 휴게시간","10:00 - 18:30
12:30 - 14:00 휴게시간","10:00 - 18:30
12:30 - 14:00 휴게시간",10:00 - 15:00,정기휴무 (매주 일요일),,,
윤결의원,피부과,051-504-5600,부산 동래구 사직북로 6 5층,,,"10:00 - 19:00
13:00 - 14:00 휴게시간","10:00 - 19:00
13:00 - 14:00 휴게시간","10:00 - 19:00
13:00 - 14:00 휴게시간",10:00 - 14:00,정기휴무 (매주 일요일),,,
사직요양병원,요양병원,051-931-7000,부산 동래구 충렬대로 97,09:00 - 18:00,,09:00 - 18:00,09:00 - 18:00,09:00 - 18:00,09:00 - 13:00,정기휴무 (매주 일요일),,,
김용균내과의원,내과,051-553-8575,부산 동래구 명륜로 77 부산은행 2층,"09:00 - 18:00
13:00 - 14:00 휴게시간",,"09:00 - 18:00
13:00 - 14:00 휴게시간","09:00 - 18:00
13:00 - 14:00 휴게시간","09:00 - 18:00
13:00 - 14:00 휴게시간",09:00 - 12:00,정기휴무 (매주 일요일),,,
명륜편한내과의원,내과,051-558-8877,부산 동래구 시실로24번길 5,"09:00 - 18:00
13:00 - 14:00 휴게시간",,09:00 - 13:00,"09:00 - 18:00
13:00 - 14:00 휴게시간","09:00 - 18:00
13:00 - 14:00 휴게시간",09:00 - 13:00,정기휴무 (매주 일요일),,,
청춘안과의원,안과,0507-1430-0111,부산 동래구 명륜로103번길 19,"09:00 - 18:00
13:00 - 14:00 휴게시간",,"09:00 - 18:00
13:00 - 14:00 휴게시간","09:00 - 18:00
13:00 - 14:00 휴게시간","09:00 - 18:00
13:00 - 14:00 휴게시간",09:30 - 13:00,정기휴무 (매주 일요일),,,
미남맑은내과의원,내과,0507-1434-8273,부산 동래구 아시아드대로 239-1,"09:00 - 18:00
13:00 - 14:00 휴게시간",,"09:00 - 18:00
13:00 - 14:00 휴게시간","09:00 - 18:00
13:00 - 14:00 휴게시간","09:00 - 18:00
13:00 - 14:00 휴게시간",09:00 - 13:00,정기휴무 (매주 일요일),,,
서울숲정신건강의학과의원,정신건강의학과,0507-1306-0486,부산 동래구 사직북로 4 사직동자이언츠파크 5층 503호,"09:00 - 18:00
13:00 - 14:00 휴게시간",,"09:00 - 18:00
13:00 - 14:00 휴게시간",14:00 - 20:00,"09:00 - 18:00
13:00 - 14:00 휴게시간",09:00 - 14:00,정기휴무 (매주 일요일),,,
피엔유(PNU)부산안과의원,안과,051-557-0075,"부산 동래구 온천장로 114 6층, 7층","09:00 - 18:00
13:00 - 14:00 휴게시간",,09:00 - 13:00,"09:00 - 18:00
13:00 - 14:00 휴게시간","09:00 - 18:00
13:00 - 14:00 휴게시간",09:00 - 13:00,정기휴무 (매주 일요일),,,
동래정한방병원,한방병원,051-978-1000,부산 동래구 충렬대로359번길 14 2층~6층,"09:00 - 21:00
13:00 - 14:00 휴게시간",,"09:00 - 21:00
13:00 - 14:00 휴게시간","09:00 - 21:00
13:00 - 14:00 휴게시간","09:00 - 21:00
13:00 - 14:00 휴게시간",09:00 - 17:00,정기휴무 (매주 일요일),,,
하우스이비인후과의원,이비인후과,051-711-7511,부산 동래구 동래로 25 6층,"09:00 - 19:00
12:30 - 14:00 휴게시간",,"09:00 - 19:00
12:30 - 14:00 휴게시간","09:00 - 19:00
12:30 - 14:00 휴게시간","09:00 - 19:00
12:30 - 14:00 휴게시간",09:00 - 14:00,정기휴무 (매주 일요일),,,
해인한의원,한의원,051-523-9183,부산 동래구 명장로20번길 109,"09:00 - 18:30
13:00 - 14:00 휴게시간
18:00 접수마감",,"09:00 - 18:30
13:00 - 14:00 휴게시간
18:00 접수마감","09:00 - 18:30
13:00 - 14:00 휴게시간
18:00 접수마감","09:00 - 18:30
13:00 - 14:00 휴게시간
18:00 접수마감","09:00 - 13:00
12:30 접수마감",정기휴무 (매주 일요일),,,
대한정형외과의원,정형외과,051-504-1145,부산 동래구 아시아드대로 224 온천동 대한메디컬,"09:00 - 18:00
13:00 - 14:00 휴게시간",,"09:00 - 18:00
13:00 - 14:00 휴게시간","09:00 - 18:00
13:00 - 14:00 휴게시간","09:00 - 18:00
13:00 - 14:00 휴게시간",09:00 - 13:00,정기휴무 (매주 일요일),,,
구정태내과의원,내과,051-501-0012,부산 동래구 사직북로19번길 34,09:00 - 18:00,,09:00 - 18:00,09:00 - 18:00,09:00 - 18:00,09:00 - 13:00,정기휴무 (매주 일요일),,,
아름다운이치과 동래점,치과,051-553-7528,부산 동래구 중앙대로 1325 이센타워 7층 아름다운이치과의원,"09:00 - 18:00
12:00 - 13:30 휴게시간",,"09:00 - 18:00
12:00 - 13:30 휴게시간","09:00 - 18:00
12:00 - 13:30 휴게시간","09:00 - 19:30
12:00 - 13:30 휴게시간","09:00 - 16:30
12:00 - 13:30 휴게시간",정기휴무 (매주 일요일),,,
광혜병원 응급실,응급실,051-504-2119,부산 동래구 충렬대로 96 광혜병원,,,,,,,,,,
동래아동병원,소아청소년과,051-715-0500,부산 동래구 충렬대로 384 동래아동병원,"09:00 - 19:00
12:30 - 14:00 휴게시간",,"09:00 - 19:00
12:30 - 14:00 휴게시간","09:00 - 19:00
12:30 - 14:00 휴게시간","09:00 - 19:00
12:30 - 14:00 휴게시간","09:00 - 16:00
12:30 - 14:00 휴게시간",09:30 - 13:00,,,
푸른안과의원,안과,051-557-6613,부산 동래구 충렬대로 239 수안메디컬센터,"09:00 - 18:00
13:00 - 14:00 휴게시간",,"09:00 - 18:00
13:00 - 14:00 휴게시간","09:00 - 18:00
13:00 - 14:00 휴게시간","09:00 - 18:00
13:00 - 14:00 휴게시간",09:00 - 13:00,정기휴무 (매주 일요일),,,
동래어린이치과의원,치과,051-711-1275,부산 동래구 온천장로 123-1 드림메디컬빌딩 8층,"09:30 - 18:30
13:00 - 14:30 휴게시간",,"09:30 - 18:30
13:00 - 14:30 휴게시간","09:30 - 18:30
13:00 - 14:30 휴게시간","09:30 - 18:30
13:00 - 14:30 휴게시간",09:30 - 13:00,정기휴무 (매주 일요일),,,
고은산부인과의원,산부인과,051-532-2777,부산 동래구 명안로85번길 52 명장랜드마크,09:30 - 18:30,,09:30 - 18:30,09:30 - 18:30,09:30 - 18:30,09:30 - 13:30,정기휴무 (매주 일요일),,,
이상성플러스의원,내과,051-502-8525,부산 동래구 쇠미로81번길 22,09:00 - 18:00,,09:00 - 12:30,09:00 - 18:00,09:00 - 18:00,09:00 - 13:00,정기휴무 (매주 일요일),,,
김향안과의원,안과,051-505-2951,부산 동래구 아시아드대로 225 미남메디칼센터,"09:30 - 18:00
13:00 - 14:30 휴게시간",,14:00 - 18:00,"09:30 - 18:00
13:00 - 14:30 휴게시간","09:30 - 18:00
13:00 - 14:30 휴게시간",09:30 - 13:00,정기휴무 (매주 일요일),,,
맘모스소아청소년과의원,소아청소년과,051-556-0187,부산 동래구 충렬대로155번길 19 2층,,,"09:30 - 18:00
12:00 - 13:30 휴게시간",13:30 - 18:00,"09:30 - 18:00
12:00 - 13:30 휴게시간",09:00 - 14:00,정기휴무 (매주 일요일),,,
르네상스의원,피부과,051-529-3559,부산 동래구 충렬대로 244 2층,13:00 - 23:00,,13:00 - 23:00,13:00 - 23:00,13:00 - 23:00,10:00 - 20:00,정기휴무 (매주 일요일),,,
김봉관소아과의원,소아청소년과,051-501-5088,부산 동래구 사직북로19번길 5,"09:00 - 18:30
13:00 - 14:30 휴게시간",,"09:00 - 18:30
13:00 - 14:30 휴게시간","09:00 - 18:30
13:00 - 14:30 휴게시간","09:00 - 18:30
13:00 - 14:30 휴게시간",09:00 - 13:00,정기휴무 (매주 일요일),,,
일신정형외과의원,정형외과,0507-1415-1288,부산 동래구 충렬대로 353 부산은행건물 3층,"09:00 - 18:30
13:00 - 14:00 휴게시간",,"09:00 - 18:30
13:00 - 14:00 휴게시간","09:00 - 18:30
13:00 - 14:00 휴게시간","09:00 - 18:30
13:00 - 14:00 휴게시간",09:00 - 13:00,정기휴무 (매주 일요일),,,
바른치과의원,치과,051-553-2819,부산 동래구 온천장로 75 KH파인우스 상가 201호,"09:30 - 18:30
12:30 - 14:00 휴게시간",,"09:30 - 18:30
12:30 - 14:00 휴게시간","14:00 - 21:00
17:30 - 18:00 휴게시간","09:30 - 18:30
12:30 - 14:00 휴게시간",09:30 - 14:00,정기휴무 (매주 일요일),,,
안락한정신건강의학과의원,정신건강의학과,051-715-7077,부산 동래구 충렬대로 413 승연메디컬 4층 401호,"09:00 - 18:00
13:00 - 14:00 휴게시간",,"09:00 - 18:00
13:00 - 14:00 휴게시간",정기휴무 (매주 목요일),"09:00 - 18:00
13:00 - 14:00 휴게시간",09:00 - 13:00,정기휴무 (매주 일요일),,,
동의당한의원,한의원,051-555-7277,부산 동래구 동래로19번길 2 온천빌딩 1층 동의당한의원,"09:30 - 20:00
13:00 - 14:00 휴게시간",,"09:30 - 20:00
13:00 - 14:00 휴게시간","09:30 - 20:00
13:00 - 14:00 휴게시간","09:30 - 20:00
13:00 - 14:00 휴게시간",09:00 - 14:00,09:00 - 14:00,,,
바른몸청담한의원 사직,한의원,0507-1325-4455,부산 동래구 사직북로 24 가람빌딩 3층,"09:00 - 21:00
12:30 - 14:00 휴게시간
20:30 접수마감",,"09:00 - 21:00
12:30 - 14:00 휴게시간
20:30 접수마감","09:00 - 21:00
12:30 - 14:00 휴게시간
20:30 접수마감","09:00 - 21:00
12:30 - 14:00 휴게시간
20:30 접수마감","09:00 - 14:00
13:30 접수마감","09:00 - 14:00
13:30 접수마감",,,
늘다봄의원,"병원,의원",051-711-1365,부산 동래구 아시아드대로 142,"09:00 - 20:00
12:00 - 13:00 휴게시간
17:00 - 18:00 휴게시간",,"09:00 - 15:00
12:00 - 13:00 휴게시간","09:00 - 20:00
12:00 - 13:00 휴게시간
17:00 - 18:00 휴게시간","09:00 - 20:00
12:00 - 13:00 휴게시간
17:00 - 18:00 휴게시간","09:00 - 15:00
12:00 - 13:00 휴게시간",13:00 - 17:00,,,
사직내과의원,내과,051-502-7010,부산 동래구 사직북로 21,"09:00 - 18:00
13:00 - 14:30 휴게시간",,"09:00 - 18:00
13:00 - 14:30 휴게시간","09:00 - 18:00
13:00 - 14:30 휴게시간","09:00 - 18:00
13:00 - 14:30 휴게시간",09:00 - 13:00,정기휴무 (매주 일요일),,,
박상욱가정의학과의원,가정의학과,051-554-3175,"부산 동래구 동래로148번길 24 1,2층",09:00 - 18:00,,09:00 - 18:00,09:00 - 18:00,09:00 - 18:00,09:00 - 13:00,정기휴무 (매주 일요일),,,
새봄병원,"병원,의원",1899-7572,부산 동래구 충렬대로 152 7~10층,"09:00 - 17:30
12:30 - 13:30 휴게시간",,"09:00 - 17:30
12:30 - 13:30 휴게시간","09:00 - 17:30
12:30 - 13:30 휴게시간","09:00 - 17:30
12:30 - 13:30 휴게시간",09:00 - 12:30,정기휴무 (매주 일요일),,,
부산미남병원,정형외과,051-501-8288,부산 동래구 아시아드대로 213 부산미남병원,"09:00 - 18:00
13:00 - 14:00 휴게시간
12:00, 17:00 접수마감",,"09:00 - 18:00
13:00 - 14:00 휴게시간
12:00, 17:00 접수마감","09:00 - 18:00
13:00 - 14:00 휴게시간
12:00, 17:00 접수마감","09:00 - 18:00
13:00 - 14:00 휴게시간
12:00, 17:00 접수마감","09:00 - 13:00
12:00 접수마감",정기휴무 (매주 일요일),,,
킴스안과의원,안과,0507-1372-9007,부산 동래구 아시아드대로 142 사직빌딩 3층 킴스안과의원,"09:30 - 18:30
13:00 - 14:00 휴게시간",,,"09:30 - 18:30
13:00 - 14:00 휴게시간","09:30 - 18:30
13:00 - 14:00 휴게시간",09:30 - 13:30,정기휴무 (매주 일요일),,,
사직부부치과의원,치과,051-503-7528,부산 동래구 사직북로19번길 6,"09:30 - 18:30
13:00 - 14:00 휴게시간",,"09:30 - 18:30
13:00 - 14:00 휴게시간","09:30 - 18:30
13:00 - 14:00 휴게시간","09:30 - 18:30
13:00 - 14:00 휴게시간",09:30 - 13:00,정기휴무 (매주 일요일),,,
고운미소치과의원,치과,051-507-2879,부산 동래구 사직로 80 사직쌍용예가 222-102호,"09:30 - 18:30
12:30 - 14:00 휴게시간",,,"09:30 - 18:30
12:30 - 14:00 휴게시간","09:30 - 18:30
12:30 - 14:00 휴게시간",09:30 - 14:00,정기휴무 (매주 일요일),,,
청담드림의원,내과,051-515-7878,부산 동래구 온천장로 123-1,"10:00 - 18:30
13:00 - 14:00 휴게시간",,"10:00 - 18:30
13:00 - 14:00 휴게시간",14:00 - 20:00,"10:00 - 20:00
13:00 - 14:00 휴게시간",10:00 - 14:00,정기휴무 (매주 일요일),,,
본메디조아의원,소아청소년과,0507-1344-0080,부산 동래구 충렬대로 413 승연메디컬타워 5층,09:00 - 19:00,,09:00 - 19:00,09:00 - 19:00,09:00 - 19:00,09:00 - 13:00,09:00 - 13:00,,,
자이언트정형외과의원,정형외과,051-557-7800,부산 동래구 충렬대로 219,"09:00 - 19:00
12:30 - 13:30 휴게시간",,"09:00 - 19:00
12:30 - 13:30 휴게시간","09:00 - 19:00
12:30 - 13:30 휴게시간","09:00 - 19:00
12:30 - 13:30 휴게시간",09:00 - 14:00,정기휴무 (매주 일요일),,,
온천부부치과의원,치과,051-552-1976,부산 동래구 금강공원로 5 3층,"09:00 - 18:00
12:30 - 14:00 휴게시간",,"09:00 - 18:00
12:30 - 14:00 휴게시간","09:00 - 18:00
12:30 - 14:00 휴게시간","09:00 - 18:00
12:30 - 14:00 휴게시간",09:00 - 13:00,정기휴무 (매주 일요일),,,
하얀결피부과의원,피부과,051-506-7582,부산 동래구 사직북로 24 5층,"09:30 - 18:30
13:00 - 14:30 휴게시간
18:00 접수마감",,"09:30 - 18:30
13:00 - 14:30 휴게시간
18:00 접수마감","02:30 - 18:30
18:00 접수마감","09:30 - 20:00
13:00 - 14:30 휴게시간
19:30 접수마감","09:30 - 14:00
13:30 접수마감",정기휴무 (매주 일요일),,,
