수,address,목,월,일(6/4),type,phone,목(6/8),매일,토(6/3),금,name,월(6/5),일,화(6/6),수(6/7),화,토
"08:00 - 18:30
13:00 - 14:00 휴게시간",부산 사하구 낙동남로 1392,"08:00 - 18:30
13:00 - 14:00 휴게시간","08:00 - 18:30
13:00 - 14:00 휴게시간",,내과,051-208-5566,,,,"08:00 - 18:30
13:00 - 14:00 휴게시간",삼성내과엠알영상의학과의원,,정기휴무 (매주 일요일),현충일 휴무,,,08:00 - 13:00
14:00 - 18:30,부산 사상구 사상로 200,"10:00 - 18:30
13:00 - 14:00 휴게시간","10:00 - 18:30
13:00 - 14:00 휴게시간",,피부과,051-326-7582,,,,"10:00 - 18:30
13:00 - 14:00 휴게시간",사상미사랑피부과의원,,정기휴무 (매주 일요일),현충일 휴무,,,10:00 - 14:00
,부산 사하구 낙동남로 1401,,,,"병원,의원",051-207-4343,,,,,큐병원,,,,,,
,경남 김해시 분성로 94-8,,,,종합병원,1577-9116,,,,,경희대학교 교육협력 중앙병원,,,,,,
"09:30 - 19:00
13:00 - 14:00 휴게시간",부산 북구 만덕대로27번길 3 세빈빌딩 6층,"09:30 - 19:00
13:00 - 14:00 휴게시간","09:30 - 19:00
13:00 - 14:00 휴게시간",,피부과,0507-1406-3344,,,,"09:30 - 19:00
13:00 - 14:00 휴게시간",올리브피부과의원,,정기휴무 (매주 일요일),현충일 휴무,,,09:30 - 14:30
"09:00 - 21:00
12:30 - 14:00 휴게시간",경남 김해시 활천로 22 아이사랑병원,"09:00 - 21:00
12:30 - 14:00 휴게시간
접기","09:00 - 21:00
12:30 - 14:00 휴게시간",,소아청소년과,055-325-5775,,,,"09:00 - 21:00
12:30 - 14:00 휴게시간",아이사랑병원,,09:00 - 12:00,"현충일09:00 - 17:00
12:30 - 14:00 휴게시간",,,"09:00 - 17:00
12:30 - 14:00 휴게시간"
"09:00 - 18:00
13:00 - 14:00 휴게시간",경남 김해시 내외중앙로 84 서울메디컬센터 10층,"09:00 - 18:00
13:00 - 14:00 휴게시간
접기","09:00 - 18:00
13:00 - 14:00 휴게시간",,이비인후과,055-336-0660,,,,"09:00 - 18:00
13:00 - 14:00 휴게시간",서울이비인후과의원,,정기휴무 (매주 일요일),,,"09:00 - 18:00
13:00 - 14:00 휴게시간",09:00 - 13:00
"09:30 - 20:00
12:30 - 14:00 휴게시간",부산 사상구 가야대로 276,"09:30 - 20:00
12:30 - 14:00 휴게시간","09:30 - 20:00
12:30 - 14:00 휴게시간",,치과,051-322-2875,,,,"09:30 - 18:00
12:30 - 14:00 휴게시간",엘리트치과병원,,정기휴무 (매주 일요일),현충일 휴무,,,09:30 - 13:00
"09:00 - 21:00
12:30 - 14:00 휴게시간",경남 김해시 김해대로 2361,"09:00 - 21:00
12:30 - 14:00 휴게시간
접기","09:00 - 21:00
12:30 - 14:00 휴게시간",,치과,055-325-7528,,,,"09:00 - 21:00
12:30 - 14:00 휴게시간",자기치아살리기365일야간드림플란트치과병원,,"09:00 - 21:00
12:30 - 14:00 휴게시간","현충일09:00 - 21:00
12:30 - 14:00 휴게시간",,,"09:00 - 21:00
12:30 - 14:00 휴게시간"
"09:00 - 17:30
12:30 - 13:30 휴게시간
12:00, 17:00 접수마감",부산 사상구 새벽로 226,"09:00 - 17:30
12:30 - 13:30 휴게시간
12:00, 17:00 접수마감","09:00 - 18:00
12:30 - 13:30 휴게시간
12:00, 17:30 접수마감",,정형외과,1644-5530,,,,"09:00 - 17:30
12:30 - 13:30 휴게시간
12:00, 17:00 접수마감",의료법인 센텀의료재단 서부산센텀병원,,정기휴무 (매주 일요일),현충일 휴무,,,"09:00 - 13:00
12:30 접수마감"
"09:00 - 18:00
12:50 - 14:00 휴게시간",경남 김해시 번화1로44번길 6,"09:00 - 18:00
12:50 - 14:00 휴게시간","09:00 - 18:00
12:50 - 14:00 휴게시간",,"병원,의원",055-339-8811,,,,"09:00 - 18:00
12:50 - 14:00 휴게시간",영진의료재단 엠아이병원,,정기휴무 (매주 일요일),,,"09:00 - 18:00
12:50 - 14:00 휴게시간",09:00 - 12:50
"09:00 - 18:00
12:00 - 13:00 휴게시간",경남 김해시 분성로 227 김해시 보건소,"09:00 - 18:00
12:00 - 13:00 휴게시간","09:00 - 18:00
12:00 - 13:00 휴게시간",,보건소,1577-9400,,,,"09:00 - 18:00
12:00 - 13:00 휴게시간",김해시보건소,,정기휴무 (매주 일요일),현충일 휴무,,,정기휴무 (매주 토요일)
"09:30 - 18:30
12:50 - 14:00 휴게시간",경남 김해시 내외중앙로 84 서울메디컬센터8F(망막/드림렌즈)9F(시력교정/백내장),"09:30 - 18:30
12:50 - 14:00 휴게시간","09:30 - 18:30
12:50 - 14:00 휴게시간",,안과,055-327-7582,,,,"09:30 - 18:30
12:50 - 14:00 휴게시간",서울안과의원,,정기휴무 (매주 일요일),현충일 휴무,,,09:30 - 13:00
,부산 사하구 낙동남로 1417 락희빌딩 3층(내과) 4층(정형외과),,,,정형외과,051-714-7105,,,,,윤종주정형외과 조현정내과의원,,,,,,
,경남 김해시 율하3로 38,,,,소아청소년과,055-331-9600,,,,,율하꿈나무병원,,,,,,
"10:00 - 19:00
13:00 - 14:00 휴게시간",경남 김해시 가락로 19 아름다운 뉴욕 메디컬센터 3층,"10:00 - 19:00
13:00 - 14:00 휴게시간","10:00 - 19:00
13:00 - 14:00 휴게시간",,피부과,055-724-3997,,,,"10:00 - 21:00
13:00 - 14:00 휴게시간",바로그의원 김해,,정기휴무 (매주 일요일),현충일 휴무,,,10:00 - 15:00
"09:00 - 18:25
12:30 - 14:00 휴게시간",경남 김해시 율하로 478 모산메디피아 3층,"09:00 - 18:25
12:30 - 14:00 휴게시간","09:00 - 18:25
12:30 - 14:00 휴게시간",,이비인후과,055-312-0222,,,,"09:00 - 18:25
12:30 - 14:00 휴게시간",바른이비인후과의원,,정기휴무 (매주 일요일),현충일 휴무,,,09:00 - 12:55
"09:00 - 19:00
13:00 - 14:00 휴게시간
18:50 접수마감",부산 사상구 사상로 200,"09:00 - 19:00
13:00 - 14:00 휴게시간
18:50 접수마감","09:00 - 19:00
13:00 - 14:00 휴게시간
18:50 접수마감",,이비인후과,051-311-7528,,,,"09:00 - 19:00
13:00 - 14:00 휴게시간
18:50 접수마감",더조은이비인후과의원,,정기휴무 (매주 일요일),현충일 휴무,,,"09:00 - 13:00
12:50 접수마감"
"09:15 - 18:00
12:40 - 14:00 휴게시간","경남 김해시 가락로 19 메디칼센터 7층, 8층 최안과의원","09:15 - 18:00
12:40 - 14:00 휴게시간
접기","09:15 - 18:00
12:40 - 14:00 휴게시간",,안과,055-327-1900,,,,"09:15 - 19:00
12:40 - 14:00 휴게시간",최안과의원,,정기휴무 (매주 일요일),현충일09:15 - 13:00,,,09:15 - 15:00
"09:00 - 21:00
13:00 - 14:00 휴게시간","부산 사하구 낙동남로 1412 경부빌딩 7층, 8층","09:00 - 21:00
13:00 - 14:00 휴게시간
접기","09:00 - 21:00
13:00 - 14:00 휴게시간",,이비인후과,1544-3898,,,,"09:00 - 21:00
13:00 - 14:00 휴게시간",비에스(BS)숨이비인후과의원,,09:00 - 13:00,현충일09:00 - 13:00,,,09:00 - 17:00
"09:00 - 18:30
12:30 - 14:00 휴게시간",경남 김해시 율하3로 21 율하메디칼,"09:00 - 18:30
12:30 - 14:00 휴게시간","09:00 - 18:30
12:30 - 14:00 휴게시간",,정형외과,055-325-7881,,,,"09:00 - 18:30
12:30 - 14:00 휴게시간",율하메디칼정형외과의원,,정기휴무 (매주 일요일),현충일 휴무,,,09:00 - 12:30
"09:00 - 17:30
12:30 - 13:30 휴게시간",부산 사하구 다대로 311,"09:00 - 17:00
12:30 - 13:30 휴게시간","09:00 - 17:30
12:30 - 13:30 휴게시간",,"병원,의원",051-266-2600,,,,"09:00 - 17:30
12:30 - 13:30 휴게시간",하나병원,,정기휴무 (매주 일요일),현충일 휴무,,,09:00 - 12:30
09:00 - 21:00,부산 북구 금곡대로 28,"09:00 - 21:00
접기",09:00 - 21:00,,치과,051-330-6000,,,,09:00 - 21:00,굿윌치과병원,,09:00 - 18:00,현충일09:00 - 21:00,,,09:00 - 21:00
"09:30 - 18:30
12:30 - 14:00 휴게시간",부산 사하구 낙동대로 212,14:00 - 19:10,"09:30 - 18:40
12:30 - 14:00 휴게시간",,피부과,051-204-1204,,,,"09:30 - 18:30
12:30 - 14:00 휴게시간",백천피부과의원,,정기휴무 (매주 일요일),현충일 휴무,,,09:30 - 14:40
"09:00 - 19:00
13:00 - 14:00 휴게시간",경남 김해시 율하3로 37 경보센텀 4층 402호,"09:00 - 19:00
13:00 - 14:00 휴게시간
접기","09:00 - 19:00
13:00 - 14:00 휴게시간",,이비인후과,055-312-0302,,,,"09:00 - 19:00
13:00 - 14:00 휴게시간",율하이비인후과의원,,정기휴무 (매주 일요일),현충일09:00 - 13:00,,,08:30 - 14:00
"10:00 - 19:00
13:00 - 14:00 휴게시간",부산 북구 만덕대로 24 4층,"10:00 - 19:00
13:00 - 14:00 휴게시간","10:00 - 19:00
13:00 - 14:00 휴게시간",,피부과,051-343-2255,,,,"10:00 - 21:00
13:00 - 14:00 휴게시간",바로그의원 덕천,,정기휴무 (매주 일요일),현충일 휴무,,,10:00 - 15:00
"09:30 - 18:30
12:30 - 14:00 휴게시간",경남 김해시 율하1로 110 중앙프라자 601호,09:30 - 18:30,"09:30 - 18:30
12:30 - 14:00 휴게시간",,피부과,0507-1417-6114,,,,"09:30 - 18:30
12:30 - 14:00 휴게시간",율하엘의원,,정기휴무 (매주 일요일),현충일 휴무,,,09:00 - 14:00
09:00 - 21:00,"부산 사하구 낙동남로 1412 경부빌딩 2F, 3F, 5F","09:00 - 21:00
접기",09:00 - 21:00,,치과,0507-1440-6000,,,,09:00 - 21:00,굿윌치과병원,,09:00 - 18:00,현충일09:00 - 21:00,,,09:00 - 21:00
"09:30 - 19:00
12:30 - 14:00 휴게시간",부산 사하구 낙동남로 1424 하단역 8번출구 동원빌딩 6층,09:30 - 13:30,"09:30 - 18:30
12:30 - 14:00 휴게시간",,피부과,051-204-8275,,,,"09:30 - 18:30
12:30 - 14:00 휴게시간",박성욱피부과의원,,정기휴무 (매주 일요일),현충일 휴무,,,09:30 - 13:30
09:00 - 18:00,경남 김해시 인제로 168,09:00 - 18:00,09:00 - 18:00,,내과,0507-1340-7589,,,,09:00 - 18:00,유&김내과의원,,정기휴무 (매주 일요일),현충일 휴무,,,09:00 - 13:00
"09:00 - 18:00
13:00 - 14:00 휴게시간",부산 사하구 다대로 145,"09:00 - 18:00
13:00 - 14:00 휴게시간
접기","09:00 - 18:00
13:00 - 14:00 휴게시간",,정형외과,051-209-1100,,,,"09:00 - 18:00
13:00 - 14:00 휴게시간",강동병원,,09:00 - 22:00,현충일09:00 - 22:00,,,09:00 - 13:00
"08:30 - 18:00
12:30 - 13:30 휴게시간
17:30 접수마감",경남 김해시 인제로 190 선교메디칼빌딩 3층,"08:30 - 18:00
12:30 - 13:30 휴게시간
17:30 접수마감
접기","08:30 - 18:00
12:30 - 13:30 휴게시간
17:30 접수마감",,내과,055-323-1586,,,,"08:30 - 18:00
12:30 - 13:30 휴게시간
17:30 접수마감",한빛내과의원,,정기휴무 (매주 일요일),,,"08:30 - 18:00
12:30 - 13:30 휴게시간
17:30 접수마감","08:30 - 13:00
12:30 접수마감"
"09:00 - 18:00
12:30 - 13:30 휴게시간",경남 김해시 대청로104번길 80-1,"09:00 - 18:00
12:30 - 13:30 휴게시간","09:00 - 18:00
12:30 - 13:30 휴게시간",,종합병원,055-330-4000,,,,"09:00 - 18:00
12:30 - 13:30 휴게시간",누가병원,,정기휴무 (매주 일요일),현충일 휴무,,,09:00 - 13:00
"09:00 - 18:30
13:00 - 14:00 휴게시간",부산 사상구 사상로 236,09:00 - 13:00,"09:00 - 18:30
13:00 - 14:00 휴게시간",,"병원,의원",051-305-7588,,,,"09:00 - 18:30
13:00 - 14:00 휴게시간",재원메디컬의원,,정기휴무 (매주 일요일),현충일 휴무,,,08:30 - 13:00
"09:00 - 18:00
12:00 - 13:00 휴게시간",부산 사하구 하신중앙로 185 사하구 제2청사,"09:00 - 18:00
12:00 - 13:00 휴게시간
접기","09:00 - 18:00
12:00 - 13:00 휴게시간",,보건소,051-220-5701,,,,"09:00 - 18:00
12:00 - 13:00 휴게시간",사하구보건소,,정보없음,,,"09:00 - 18:00
12:00 - 13:00 휴게시간",정보없음
"09:00 - 18:30
13:00 - 14:00 휴게시간",경남 김해시 월산로 1 농협,"09:00 - 18:30
13:00 - 14:00 휴게시간","09:00 - 18:30
13:00 - 14:00 휴게시간",,이비인후과,055-314-7585,,,,"09:00 - 18:30
13:00 - 14:00 휴게시간",황정하이비인후과의원,,정기휴무 (매주 일요일),현충일 휴무,,,09:00 - 14:00
"10:00 - 20:00
12:30 - 14:00 휴게시간",경남 김해시 김해대로 2078 홈플러스,"10:00 - 20:00
12:30 - 14:00 휴게시간","10:00 - 20:00
12:30 - 14:00 휴게시간",,내과,0507-1496-8088,,,,"10:00 - 20:00
12:30 - 14:00 휴게시간",수사랑의원,,"10:00 - 18:00
12:30 - 14:00 휴게시간",,,"10:00 - 20:00
12:30 - 14:00 휴게시간","10:00 - 20:00
12:30 - 14:00 휴게시간"
"09:30 - 20:30
12:30 - 14:00 휴게시간",경남 김해시 분성로 14-4 일동한신아파트 주상가 204호,"09:30 - 19:00
12:30 - 14:00 휴게시간
접기","09:30 - 19:00
12:30 - 14:00 휴게시간",,"병원,의원",0507-1430-0340,,,,"09:30 - 19:00
12:30 - 14:00 휴게시간",참사랑의원,,"09:30 - 17:00
12:30 - 14:00 휴게시간","현충일09:30 - 17:00
12:30 - 14:00 휴게시간",,,"09:30 - 17:00
12:30 - 14:00 휴게시간"
"09:00 - 18:00
12:30 - 13:30 휴게시간",경남 김해시 구지로 56 김해센텀병원,"09:00 - 18:00
12:30 - 13:30 휴게시간","09:00 - 18:00
12:30 - 13:30 휴게시간",,"병원,의원",055-330-9100,,,,"09:00 - 18:00
12:30 - 13:30 휴게시간",김해센텀병원,,정기휴무 (매주 일요일),현충일 휴무,,,09:00 - 13:00
"09:00 - 18:30
12:30 - 14:00 휴게시간
17:50 접수마감",경남 김해시 번화1로80번길 15 다성빌딩 5층,"09:00 - 20:00
12:30 - 14:00 휴게시간
19:20 접수마감",,,정형외과,055-333-0088,,,,"09:00 - 18:30
12:30 - 14:00 휴게시간
17:50 접수마감",고운정형외과의원,휴무,정기휴무 (매주 일요일),현충일 휴무,,,"09:00 - 13:00
12:20 접수마감"
"10:00 - 18:00
12:50 - 14:00 휴게시간",부산 사상구 광장로87번길 63,"정기휴무 (매주 목요일)
접기","10:00 - 18:00
12:50 - 14:00 휴게시간",,한의원,051-312-7648,,,,"10:00 - 18:00
12:50 - 14:00 휴게시간",백문기한의원,,정기휴무 (매주 일요일),"현충일10:00 - 17:00
12:50 - 14:00 휴게시간",,,"10:00 - 17:00
12:50 - 14:00 휴게시간"
"10:00 - 19:00
13:00 - 14:00 휴게시간
17:30 접수마감",부산 사하구 낙동남로 1412 경부빌딩 9층,"10:00 - 19:00
13:00 - 14:00 휴게시간
17:30 접수마감","10:00 - 19:00
13:00 - 14:00 휴게시간
17:30 접수마감",,피부과,051-202-8272,,,,"10:00 - 21:00
13:00 - 14:00 휴게시간
19:30 접수마감",바로그의원 하단,,정기휴무 (매주 일요일),현충일 휴무,,,"10:00 - 14:00
12:30 접수마감"
09:00 - 18:30,부산 사상구 엄궁북로 24 한사랑가정의원,09:00 - 18:30,09:00 - 18:30,,소아청소년과,051-317-9234,,,,09:00 - 18:30,한사랑가정의원,,정기휴무 (매주 일요일),현충일 휴무,,,09:00 - 13:30
"09:00 - 18:00
12:00 - 13:00 휴게시간",부산 사상구 학감대로 242,"09:00 - 18:00
12:00 - 13:00 휴게시간","09:00 - 18:00
12:00 - 13:00 휴게시간",,보건소,051-310-4791,,,,"09:00 - 18:00
12:00 - 13:00 휴게시간",사상구보건소,,정기휴무 (매주 일요일),현충일 휴무,,,정기휴무 (매주 토요일)
"09:00 - 18:30
12:30 - 14:00 휴게시간",부산 사상구 가야대로 276 M-suare 메디컬센터 8층,"09:00 - 18:30
12:30 - 14:00 휴게시간","09:00 - 18:30
12:30 - 14:00 휴게시간",,정형외과,051-711-0280,,,,"09:00 - 18:30
12:30 - 14:00 휴게시간",삼성본정형외과의원,,정기휴무 (매주 일요일),,,"09:00 - 18:30
12:30 - 14:00 휴게시간",09:00 - 13:00
"09:00 - 19:00
12:30 - 14:00 휴게시간","부산 사하구 다대로 234 5, 6, 8, 9층","09:00 - 19:00
12:30 - 14:00 휴게시간","09:00 - 19:00
12:30 - 14:00 휴게시간",,소아청소년과,0507-1454-6003,,,,"09:00 - 19:00
12:30 - 14:00 휴게시간",부산더키즈병원,,09:00 - 13:00,현충일09:00 - 13:00,,,09:00 - 13:00
"10:00 - 19:30
12:30 - 14:00 휴게시간",경남 김해시 율하6로 56 율하메이저타워 6층 센텀코어더율의원,14:30 - 20:00,"10:00 - 19:30
12:30 - 14:00 휴게시간",,피부과,055-724-2449,,,,"10:00 - 19:30
12:30 - 14:00 휴게시간",센텀코어더율의원,,정기휴무 (매주 일요일),현충일 휴무,,,"10:00 - 16:00
12:30 - 14:00 휴게시간"
"09:00 - 18:00
12:30 - 13:30 휴게시간",부산 사하구 낙동남로 1410,"09:00 - 18:00
12:30 - 13:30 휴게시간","09:00 - 18:00
12:30 - 13:30 휴게시간",,"병원,의원",0507-1429-7833,,,,"09:00 - 18:00
12:30 - 13:30 휴게시간",프라임병원,,정기휴무 (매주 일요일),,,"09:00 - 18:00
12:30 - 13:30 휴게시간",09:00 - 13:00
09:00 - 13:00,경남 김해시 능동로 161 제일프라자,"09:00 - 19:00
12:30 - 14:00 휴게시간","09:00 - 19:00
12:30 - 14:00 휴게시간",,정형외과,055-313-3875,,,,"09:00 - 19:00
12:30 - 14:00 휴게시간",큰나무정형외과의원,,정기휴무 (매주 일요일),현충일 휴무,,,09:00 - 14:00
,부산 사하구 다대로 550 5층,,,,내과,051-265-2468,,,,,the속시원내과의원,,,,,,
"09:00 - 17:30
12:30 - 13:30 휴게시간",경남 김해시 분성로 208 김해 the큰병원,"09:00 - 17:30
12:30 - 13:30 휴게시간
접기","09:00 - 17:30
12:30 - 13:30 휴게시간",,신경외과,0507-1468-0926,,,,"09:00 - 17:30
12:30 - 13:30 휴게시간",더큰병원 김해,,정기휴무 (매주 일요일),,,"09:00 - 17:30
12:30 - 13:30 휴게시간",09:00 - 13:00
"09:00 - 19:00
12:30 - 14:00 휴게시간",경남 김해시 장유로 232 코아상가,"09:00 - 19:00
12:30 - 14:00 휴게시간","09:00 - 19:00
12:30 - 14:00 휴게시간",,이비인후과,055-314-7599,,,,"09:00 - 19:00
12:30 - 14:00 휴게시간",코아이비인후과의원,,정기휴무 (매주 일요일),현충일 휴무,,,09:00 - 14:00
"09:00 - 18:00
12:30 - 14:00 휴게시간",경남 창원시 진해구 용원서로 42 세명병원,"09:00 - 18:00
12:30 - 14:00 휴게시간","09:00 - 18:00
12:30 - 13:30 휴게시간",,"병원,의원",055-540-7500,,,,"09:00 - 18:00
12:30 - 14:00 휴게시간",세명병원,,정기휴무 (매주 일요일),,,"09:00 - 18:00
12:30 - 14:00 휴게시간",09:00 - 13:00
"09:00 - 18:00
12:30 - 14:00 휴게시간",부산 사상구 낙동대로 786,"09:00 - 18:00
12:30 - 14:00 휴게시간","09:00 - 18:00
12:30 - 14:00 휴게시간",,이비인후과,051-316-1117,,,,"09:00 - 18:00
12:30 - 14:00 휴게시간",성모이비인후과의원,,정기휴무 (매주 일요일),현충일 휴무,,,09:00 - 12:00
"09:00 - 20:30
13:00 - 14:30 휴게시간",경남 김해시 율하1로 110 중앙프라자,"09:00 - 20:30
13:00 - 14:30 휴게시간","09:00 - 20:30
13:00 - 14:30 휴게시간",,소아청소년과,055-323-3360,,,,"09:00 - 20:30
13:00 - 14:30 휴게시간",사랑해소아청소년과연합의원,,09:00 - 13:00,현충일09:00 - 13:00,,,09:00 - 14:00
"09:10 - 18:00
13:00 - 14:00 휴게시간
17:30 접수마감",경남 김해시 장유로 230 프리마빌딩,"09:10 - 18:00
13:00 - 14:00 휴게시간
17:30 접수마감","09:10 - 18:00
13:00 - 14:00 휴게시간
17:30 접수마감",,안과,0507-1458-0391,,,,"09:10 - 18:00
13:00 - 14:00 휴게시간
17:30 접수마감",굿모닝안과의원,,정기휴무 (매주 일요일),현충일 휴무,,,"09:10 - 13:00
12:30 접수마감"
"10:00 - 19:00
14:00 - 15:00 휴게시간",부산 사하구 낙동남로 1426,"10:00 - 22:00
14:00 - 15:00 휴게시간","10:00 - 19:00
14:00 - 15:00 휴게시간",,피부과,051-205-9777,,,,"10:00 - 19:00
14:00 - 15:00 휴게시간",킴스뷰티의원,,정기휴무 (매주 일요일),현충일 휴무,,,10:00 - 16:00
"09:30 - 18:30
12:30 - 14:00 휴게시간",부산 사하구 낙동대로 466,"09:30 - 18:30
12:30 - 14:00 휴게시간","09:30 - 18:30
12:30 - 14:00 휴게시간",,피부과,051-204-8114,,,,"10:00 - 19:30
12:30 - 14:00 휴게시간",아름다운피부과의원,,정기휴무 (매주 일요일),현충일 휴무,,,09:30 - 14:00
"09:00 - 18:00
13:00 - 14:00 휴게시간",부산 사하구 다대로 321,"09:00 - 18:00
13:00 - 14:00 휴게시간","09:00 - 18:00
13:00 - 14:00 휴게시간",,"병원,의원",051-265-7575,,,,"09:00 - 18:00
13:00 - 14:00 휴게시간",경희병원,,정기휴무 (매주 일요일),현충일 휴무,,,09:00 - 13:00
,경남 김해시 율하1로 106 네오프라자빌딩 6층,"09:00 - 19:00
12:30 - 14:00 휴게시간
18:30 접수마감",,,정형외과,0507-1316-9399,,,,"09:00 - 19:00
12:30 - 14:00 휴게시간
18:30 접수마감",바른정형외과의원,휴무,정기휴무 (매주 일요일),휴무,휴무,,"09:00 - 13:30
13:00 접수마감"
"09:00 - 18:30
12:30 - 14:00 휴게시간",경남 김해시 계동로23번길 3-19,"09:00 - 18:30
12:30 - 14:00 휴게시간","09:00 - 18:30
12:30 - 14:00 휴게시간",,내과,055-314-3651,,,,"09:00 - 18:30
12:30 - 14:00 휴게시간",김인기내과의원,,정기휴무 (매주 일요일),현충일 휴무,,,09:00 - 13:00
,경남 김해시 분성로 444 굿모닝빌딩,,,,"병원,의원",055-335-0300,,,,,김해굿모닝병원,,,,,,
10:00 - 20:00,경남 김해시 내외중앙로 92 5층 뮤즈의원 김해,"10:00 - 20:00
접기",10:00 - 20:00,,피부과,1522-4340,,,,10:00 - 20:00,뮤즈의원 김해,,정기휴무 (매주 일요일),10:00 - 16:00,,,10:00 - 16:00
"08:30 - 18:30
12:30 - 14:00 휴게시간",부산 사하구 낙동남로 1389 이든 빌딩 6층 - 진료실,"08:30 - 18:30
12:30 - 14:00 휴게시간
접기","08:30 - 18:30
12:30 - 14:00 휴게시간",,내과,051-202-7722,,,,"08:30 - 18:30
12:30 - 14:00 휴게시간",김은영내과의원,,정기휴무 (매주 일요일),08:30 - 13:00,,,08:30 - 14:00
"09:30 - 19:00
12:30 - 14:00 휴게시간",경남 김해시 내외중앙로 62 종로엠스쿨,정기휴무 (매주 목요일),"09:30 - 19:00
12:30 - 14:00 휴게시간",,피부과,055-327-0651,,,,"09:30 - 19:00
12:30 - 14:00 휴게시간",서울피부과의원,,정기휴무 (매주 일요일),현충일 휴무,,,09:30 - 17:00
"10:00 - 20:00
13:00 - 14:00 휴게시간
18:00 - 18:30 휴게시간",부산 사상구 광장로 17 이마트,"10:00 - 20:00
13:00 - 14:00 휴게시간
18:00 - 18:30 휴게시간
접기","10:00 - 20:00
13:00 - 14:00 휴게시간
18:00 - 18:30 휴게시간",,내과,051-317-7855,,,,"10:00 - 20:00
13:00 - 14:00 휴게시간
18:00 - 18:30 휴게시간",예인의원,,"10:00 - 17:00
13:00 - 14:00 휴게시간","현충일10:00 - 17:00
13:00 - 14:00 휴게시간",,,"10:00 - 17:00
13:00 - 14:00 휴게시간"
"09:00 - 18:30
13:00 - 14:00 휴게시간",경남 김해시 능동로155번길 2,"09:00 - 18:30
13:00 - 14:00 휴게시간","09:00 - 18:30
13:00 - 14:00 휴게시간",,내과,055-312-9955,,,,"09:00 - 18:30
13:00 - 14:00 휴게시간",속시원내과의원,,정기휴무 (매주 일요일),현충일 휴무,,,09:00 - 15:00
"09:00 - 19:00
13:00 - 14:00 휴게시간",경남 김해시 율하1로 106 4층,"09:00 - 19:00
13:00 - 14:00 휴게시간
접기","09:00 - 19:00
13:00 - 14:00 휴게시간",,이비인후과,055-323-6525,,,,"09:00 - 19:00
13:00 - 14:00 휴게시간",오이비인후과의원,,정기휴무 (매주 일요일),현충일09:00 - 13:00,,,08:45 - 16:00
"09:00 - 18:40
12:30 - 14:00 휴게시간
18:30 접수마감",경남 김해시 번화1로80번길 15 다성빌딩,"09:00 - 18:40
12:30 - 14:00 휴게시간
18:30 접수마감
접기","09:00 - 18:40
12:30 - 14:00 휴게시간
18:30 접수마감",,이비인후과,055-314-8900,,,,"09:00 - 18:40
12:30 - 14:00 휴게시간
18:30 접수마감",한나이비인후과의원,,정기휴무 (매주 일요일),,,"09:00 - 18:40
12:30 - 14:00 휴게시간
18:30 접수마감","09:00 - 13:20
13:10 접수마감"
"10:00 - 20:30
13:00 - 14:00 휴게시간",부산 북구 만덕대로 22,"10:00 - 20:30
13:00 - 14:00 휴게시간
접기","10:00 - 20:30
13:00 - 14:00 휴게시간",,성형외과,051-331-8877,,,,"10:00 - 20:30
13:00 - 14:00 휴게시간",쉬즈라인의원 덕천점,,정기휴무 (매주 일요일),현충일10:00 - 16:00,,,"10:00 - 16:00
13:00 - 14:00 휴게시간"
"10:00 - 20:30
13:00 - 14:00 휴게시간",부산 북구 백양대로 1200 정수빌딩 3층,정기휴무 (매주 목요일),"10:00 - 20:30
13:00 - 14:00 휴게시간",,한의원,0507-1394-0333,,,,"10:00 - 20:30
13:00 - 14:00 휴게시간",온맘여성한의원 부산덕천,,정기휴무 (매주 일요일),,,"10:00 - 18:30
13:00 - 14:00 휴게시간",10:00 - 16:00
"14:00 - 20:00
12:30 - 14:00 휴게시간",부산 북구 백양대로 1013-1 용원상가빌,"09:00 - 19:00
12:30 - 14:00 휴게시간","09:00 - 19:00
12:30 - 14:00 휴게시간",,이비인후과,051-341-9525,,,,"09:00 - 19:00
12:30 - 14:00 휴게시간",장윤석이비인후과의원,,정기휴무 (매주 일요일),"현충일09:00 - 13:00
12:30 - 14:00 휴게시간",,,"09:00 - 14:00
12:30 - 14:00 휴게시간"
"08:50 - 18:20
13:00 - 14:00 휴게시간
18:00 접수마감",부산 사하구 낙동대로 449,"08:50 - 18:20
13:00 - 14:00 휴게시간
18:00 접수마감","08:50 - 18:20
13:00 - 14:00 휴게시간
18:00 접수마감",,내과,051-291-9550,,,,"08:50 - 18:20
13:00 - 14:00 휴게시간
18:00 접수마감",부산내과의원,,정기휴무 (매주 일요일),현충일08:50 - 13:00,,,"08:50 - 15:20
13:00 - 13:40 휴게시간
15:00 접수마감"
"09:00 - 17:00
12:30 - 13:30 휴게시간",부산 사상구 가야대로 326,"09:00 - 17:00
12:30 - 13:30 휴게시간","09:00 - 18:00
12:30 - 13:30 휴게시간",,종합병원,051-322-0900,,,,"09:00 - 17:00
12:30 - 13:30 휴게시간",좋은삼선병원,,정기휴무 (매주 일요일),현충일 휴무,,,09:00 - 13:00
