병원이름,병원주소,일(6/4),토(6/3),수,목(6/8),화(6/6),일,매일,월,화,수(6/7),전화번호,금(6/2),토,병원종류,월(6/5),목,금
여우한의원,부산 남구 신선로 566 GS하이츠자이,,,09:30 - 18:30,,현충일 휴무,정기휴무 (매주 일요일),,09:30 - 18:30,,,0507-1445-1075,,09:30 - 13:30,한의원,,09:30 - 20:00,09:30 - 18:30
메디아트의원,부산 남구 수영로 304 대승타워 4층,,,"10:00 - 20:00
13:30 - 14:30 휴게시간
19:30 접수마감",,현충일 휴무,정기휴무 (매주 일요일),,"10:00 - 20:00
13:30 - 14:30 휴게시간
19:30 접수마감",,,051-628-7582,,"10:00 - 17:00
16:30 접수마감",피부과,,"10:00 - 20:00
13:30 - 14:30 휴게시간
19:30 접수마감","10:00 - 20:00
13:30 - 14:30 휴게시간
19:30 접수마감"
박언비뇨의학과의원,부산 남구 수영로 260 대연백리명가 5층,,,"09:30 - 19:00
13:00 - 14:30 휴게시간",,현충일 휴무,정기휴무 (매주 일요일),,"09:30 - 19:00
13:00 - 14:30 휴게시간",,,051-622-5474,,09:30 - 14:00,비뇨의학과,,14:00 - 19:00,"09:30 - 19:00
13:00 - 14:30 휴게시간"
대연88마취통증의학과의원,부산 남구 진남로 4 대연베델메디컬빌딩 4층,,,"09:00 - 19:00
13:00 - 14:00 휴게시간",,휴무,정기휴무 (매주 일요일),,"09:00 - 19:00
13:00 - 14:00 휴게시간",,,051-625-0088,,09:00 - 13:00,정형외과,,"09:00 - 19:00
13:00 - 14:00 휴게시간","09:00 - 19:00
13:00 - 14:00 휴게시간"
한정욱이비인후과의원,부산 남구 수영로 27,,,"09:00 - 18:10
12:30 - 14:00 휴게시간
18:00 접수마감",,현충일 휴무,정기휴무 (매주 일요일),,"09:00 - 18:10
12:30 - 14:00 휴게시간
18:00 접수마감",,,051-636-9419,,"09:00 - 12:50
12:40 접수마감",이비인후과,,"09:00 - 18:10
12:30 - 14:00 휴게시간
18:00 접수마감","09:00 - 18:10
12:30 - 14:00 휴게시간
18:00 접수마감"
위대항병원,부산 남구 수영로 241,,,"09:00 - 17:30
12:00 - 13:30 휴게시간",,현충일 휴무,정기휴무 (매주 일요일),,"09:00 - 17:30
12:00 - 13:30 휴게시간",,,0507-1489-9023,,09:00 - 12:30,외과,,"09:00 - 17:30
12:00 - 13:30 휴게시간","09:00 - 17:30
12:00 - 13:30 휴게시간"
민현주여성의원,부산 남구 수영로 27 201호 민현주여성의원,,,09:30 - 13:00,,현충일 휴무,정기휴무 (매주 일요일),,"09:30 - 18:30
13:00 - 14:00 휴게시간",,,051-638-8275,,09:30 - 13:00,산부인과,,"09:30 - 18:30
13:00 - 14:00 휴게시간","09:30 - 21:00
13:00 - 14:00 휴게시간
18:30 - 19:00 휴게시간"
조이정형외과의원,부산 남구 수영로 277 라온빌딩 3층 조이정형외과의원,,,"09:00 - 18:00
13:00 - 14:00 휴게시간",,현충일 휴무,정기휴무 (매주 일요일),,"09:00 - 18:00
13:00 - 14:00 휴게시간",,,051-611-7285,,09:00 - 13:00,정형외과,,"09:00 - 18:00
13:00 - 14:00 휴게시간","09:00 - 18:00
13:00 - 14:00 휴게시간"
김효준내과,부산 남구 석포로 76 유엔메디컬빌딩 3층,,,09:00 - 18:00,,현충일09:00 - 13:00,정기휴무 (매주 일요일),,09:00 - 18:00,,,051-628-6422,,09:00 - 13:00,내과,,"09:00 - 18:00
접기",09:00 - 18:00
헬로소아청소년과의원,부산 남구 수영로 345 대연힐스테이트푸르지오 상가309호,,,"09:00 - 18:00
12:30 - 14:00 휴게시간",,현충일 휴무,정기휴무 (매주 일요일),,"09:00 - 18:00
12:30 - 14:00 휴게시간",,,051-612-0677,,09:00 - 13:00,소아청소년과,,09:00 - 13:00,"09:00 - 18:00
12:30 - 14:00 휴게시간"
도시치과의원,부산 남구 수영로 26 대림문현시티프라자,,,09:30 - 18:00,,현충일 휴무,정기휴무 (매주 일요일),,09:30 - 18:30,,,051-643-2030,,09:30 - 13:00,치과,,09:30 - 18:30,09:30 - 18:00
오륙도신경외과의원,부산 남구 용호로 141 4층 오륙도신경외과,,,"08:30 - 18:30
12:30 - 14:00 휴게시간",,현충일 휴무,정기휴무 (매주 일요일),,"08:30 - 18:30
12:30 - 14:00 휴게시간",,,051-611-2621,,08:30 - 14:00,신경외과,,"08:30 - 20:00
12:30 - 14:00 휴게시간","08:30 - 18:30
12:30 - 14:00 휴게시간"
이정형외과의원,부산 남구 용호로 173 신협,,,,,,,,,,,051-622-2727,,,정형외과,,,
대연탑비뇨의학과의원,부산 남구 수영로 240 3층,,,"09:00 - 19:00
13:00 - 14:00 휴게시간",,현충일 휴무,정기휴무 (매주 일요일),,"09:00 - 19:00
13:00 - 14:00 휴게시간",,,051-612-1141,,09:00 - 14:00,비뇨의학과,,"09:00 - 19:00
13:00 - 14:00 휴게시간","09:00 - 19:00
13:00 - 14:00 휴게시간"
현명기피부과의원,부산 남구 수영로 206 정학기정형외과 3층,,,"09:00 - 18:30
13:00 - 14:00 휴게시간",,현충일 휴무,정기휴무 (매주 일요일),,"09:00 - 18:30
13:00 - 14:00 휴게시간",,,051-627-6677,,09:00 - 13:00,피부과,,14:00 - 19:00,"09:00 - 18:30
13:00 - 14:00 휴게시간"
미소플란트치과의원,부산 남구 수영로 304 3층,,,10:00 - 21:00,,,정기휴무 (매주 일요일),,10:00 - 19:00,10:00 - 19:00,,1644-9928,,10:00 - 16:00,치과,,10:00 - 21:00,10:00 - 19:00
강한정형외과의원,부산 남구 석포로 74,,,09:00 - 18:00,,현충일 휴무,09:00 - 15:00,,09:00 - 18:00,,,051-542-8840,,09:00 - 15:00,정형외과,,09:00 - 18:00,09:00 - 18:00
대연봄정신건강의학과의원,부산 남구 수영로 233 민석빌딩 8층 대연봄정신건강의학과의원,,,"09:30 - 18:00
12:30 - 14:00 휴게시간
17:45 접수마감",,현충일 휴무,정기휴무 (매주 일요일),,"09:30 - 18:00
12:30 - 14:00 휴게시간
17:45 접수마감",,,0507-1322-1335,,"09:30 - 13:00
12:45 접수마감",정신건강의학과,,"09:30 - 18:00
12:30 - 14:00 휴게시간
17:45 접수마감","09:30 - 18:00
12:30 - 14:00 휴게시간
17:45 접수마감"
더바른이치과의원,부산 남구 수영로 297 대영빌딩 2층,,,,,현충일 휴무,정기휴무 (매주 일요일),,"10:30 - 19:00
13:00 - 14:30 휴게시간",,"10:30 - 19:00
13:00 - 14:30 휴게시간",0507-1408-7527,,"09:30 - 16:00
13:00 - 14:00 휴게시간",치과,,"10:30 - 19:00
13:00 - 14:30 휴게시간","10:30 - 19:00
13:00 - 14:30 휴게시간"
태진의원,부산 남구 우암로 166 선한교회,,,09:00 - 12:30,,현충일 휴무,정기휴무 (매주 일요일),,"09:00 - 17:30
12:30 - 14:00 휴게시간",,,051-637-1106,,09:00 - 12:30,"병원,의원",,"09:00 - 17:30
12:30 - 14:00 휴게시간","09:00 - 17:30
12:30 - 14:00 휴게시간"
더하얀의원,부산 남구 수영로 345 대연힐스테이트푸르지오 주상복합상가 115동 306호,,,"10:00 - 19:00
12:30 - 14:00 휴게시간",,,정기휴무 (매주 일요일),,"10:00 - 19:00
12:30 - 14:00 휴게시간","10:00 - 19:00
12:30 - 14:00 휴게시간",,051-626-5599,,10:00 - 15:00,피부과,,"14:00 - 19:00
접기","10:00 - 21:00
12:30 - 14:00 휴게시간"
목화산부인과의원,부산 남구 수영로 225-1 목화산부인과,,,"09:00 - 17:30
12:30 - 14:00 휴게시간
17:00 접수마감",,현충일09:00 - 11:00,"09:00 - 11:00
10:30 접수마감",,"09:00 - 19:30
12:30 - 14:00 휴게시간
19:00 접수마감",,,051-628-1230,,"09:00 - 12:30
12:00 접수마감",산부인과,,"09:00 - 19:30
12:30 - 14:00 휴게시간
19:00 접수마감","09:00 - 17:30
12:30 - 14:00 휴게시간
17:00 접수마감"
부산샬롬치과의원,부산 남구 수영로 27,,,"09:30 - 18:00
13:00 - 14:00 휴게시간",,현충일 휴무,정기휴무 (매주 일요일),,"09:30 - 18:00
13:00 - 14:00 휴게시간",,,051-637-7528,,09:00 - 15:00,치과,,"09:30 - 18:00
13:00 - 14:00 휴게시간","09:30 - 18:00
13:00 - 14:00 휴게시간"
더편한마취통증의학과의원,부산 남구 못골로 87,,,"09:00 - 18:30
13:00 - 14:00 휴게시간
18:00 접수마감",,현충일 휴무,정기휴무 (매주 일요일),,,,,0507-1383-7575,,"09:00 - 14:00
13:30 접수마감",정형외과,휴무,"09:00 - 18:30
13:00 - 14:00 휴게시간
18:00 접수마감","09:00 - 18:30
13:00 - 14:00 휴게시간
18:00 접수마감"
아이앤맘정신건강의학과의원,부산 남구 수영로 216 7층 아이앤맘 소아정신과,,,"09:30 - 18:00
12:30 - 14:00 휴게시간
17:45 접수마감",,현충일 휴무,정기휴무 (매주 일요일),,"09:30 - 18:00
12:30 - 14:00 휴게시간
17:45 접수마감",,,0507-1496-9601,,"09:30 - 13:00
12:45 접수마감",정신건강의학과,,"14:00 - 18:00
17:45 접수마감","09:30 - 18:00
12:30 - 14:00 휴게시간
17:45 접수마감"
류마참내과의원,부산 남구 수영로 240-1,,,"09:00 - 13:00
12:30 접수마감",,현충일 휴무,정기휴무 (매주 일요일),,"09:00 - 18:00
13:00 - 14:00 휴게시간
12:30, 17:30 접수마감",,,051-365-8275,,"09:00 - 13:00
12:30 접수마감",내과,,"09:00 - 18:00
13:00 - 14:00 휴게시간
12:30, 17:30 접수마감","09:00 - 18:00
13:00 - 14:00 휴게시간
12:30, 17:30 접수마감"
THE밝은안과의원,부산 남구 수영로 209 일동 지에닌,,,09:00 - 12:55,,현충일 휴무,정기휴무 (매주 일요일),,"09:00 - 17:55
12:50 - 14:20 휴게시간",,,051-612-1116,,09:00 - 12:55,안과,,"09:00 - 17:55
12:50 - 14:20 휴게시간","09:00 - 17:55
12:50 - 14:20 휴게시간"
도마스이비인후과의원,부산 남구 용호로 189-2,,,"09:00 - 18:00
12:30 - 14:00 휴게시간",,현충일 휴무,정기휴무 (매주 일요일),,"09:00 - 18:00
12:30 - 14:00 휴게시간",,,051-627-9117,,정기휴무 (매주 토요일),이비인후과,,"09:00 - 18:00
12:30 - 14:00 휴게시간","09:00 - 18:00
12:30 - 14:00 휴게시간"
크리스탈치과의원,부산 남구 수영로 258 2층 크리스탈치과의원,,,"09:30 - 18:30
13:00 - 14:30 휴게시간",,현충일 휴무,정기휴무 (매주 일요일),,"09:30 - 18:30
13:00 - 14:30 휴게시간",,,0507-1375-7522,,09:30 - 13:30,치과,,"09:30 - 18:30
13:00 - 14:30 휴게시간","09:30 - 18:30
13:00 - 14:30 휴게시간"
하이치과의원,부산 남구 용호로 91 휴렉스 3층 하이치과의원,,,"09:30 - 19:00
12:30 - 14:00 휴게시간",,현충일 휴무,정기휴무 (매주 일요일),,,,,051-627-7528,,09:30 - 14:00,치과,휴무,"09:30 - 19:00
12:30 - 14:00 휴게시간","09:30 - 19:00
12:30 - 14:00 휴게시간"
맑고고운의원,부산 남구 용호로 207 7층,,,,,현충일 휴무,정기휴무 (매주 일요일),,"10:00 - 20:00
13:00 - 14:00 휴게시간",,"10:00 - 20:00
13:00 - 14:00 휴게시간",0507-1389-7277,,10:00 - 14:00,피부과,,"10:00 - 20:00
13:00 - 14:00 휴게시간","10:00 - 20:00
13:00 - 14:00 휴게시간"
이기대정형외과의원,부산 남구 용호로 154 용호메디칼센타,,,"09:00 - 18:30
13:00 - 14:00 휴게시간",,현충일 휴무,정기휴무 (매주 일요일),,"09:00 - 18:30
13:00 - 14:00 휴게시간",,,051-627-8875,,09:00 - 13:00,정형외과,,"09:00 - 18:30
13:00 - 14:00 휴게시간","09:00 - 18:30
13:00 - 14:00 휴게시간"
김현지키움소아청소년과의원,"부산 남구 수영로 260 대연백리명가에덴 3층 311, 312호",,,"09:30 - 17:30
12:30 - 14:00 휴게시간",,현충일 휴무,정기휴무 (매주 일요일),,"09:30 - 17:30
12:30 - 14:00 휴게시간",,,051-711-6241,,09:30 - 13:00,소아청소년과,,09:30 - 13:00,"09:30 - 17:30
12:30 - 14:00 휴게시간"
윤성식이비인후과의원,부산 남구 용호로 147 종합검진센타,,,"09:00 - 18:30
12:30 - 14:00 휴게시간",,현충일 휴무,정기휴무 (매주 일요일),,"09:00 - 18:30
12:30 - 14:00 휴게시간",,,051-621-4271,,09:00 - 13:00,이비인후과,,"09:00 - 18:30
12:30 - 14:00 휴게시간","09:00 - 18:30
12:30 - 14:00 휴게시간"
예뻐지는의원,부산 남구 수영로 300 비젼프라자 4층,,,"11:00 - 19:00
13:00 - 14:00 휴게시간",,현충일 휴무,정기휴무 (매주 일요일),,,,,051-628-7212,,11:00 - 15:00,피부과,휴무,"11:00 - 19:00
13:00 - 14:00 휴게시간","11:00 - 19:00
13:00 - 14:00 휴게시간"
몸맘소생한의원,부산 남구 우암로 148 1층,,,09:30 - 19:00,,현충일 휴무,정기휴무 (매주 일요일),,09:30 - 19:00,,,051-636-3160,,09:00 - 14:00,한의원,,09:00 - 14:00,09:30 - 19:00
경희한결한의원,부산 남구 수영로 233 민석빌딩 4층,,,"09:30 - 19:00
13:00 - 14:00 휴게시간",,현충일 휴무,정기휴무 (매주 일요일),,"09:30 - 19:00
13:00 - 14:00 휴게시간",,,0507-1424-7588,,09:30 - 15:00,한의원,,"09:30 - 19:00
13:00 - 14:00 휴게시간","09:30 - 19:00
13:00 - 14:00 휴게시간"
메디칼안과의원,부산 남구 동명로 137 원진찜질방,,,"09:30 - 18:00
13:00 - 14:00 휴게시간",,현충일09:30 - 13:00,정기휴무 (매주 일요일),,"09:30 - 18:00
13:00 - 14:00 휴게시간",,,051-621-3434,,09:30 - 13:00,안과,,"09:30 - 18:00
13:00 - 14:00 휴게시간
접기","09:30 - 18:00
13:00 - 14:00 휴게시간"
오즈어린이치과의원 대연점,부산 남구 수영로 286 유일프라자4층,,,"10:00 - 18:00
13:00 - 14:20 휴게시간
17:30 접수마감",,현충일 휴무,정기휴무 (매주 일요일),,"10:00 - 18:00
13:00 - 14:20 휴게시간
17:30 접수마감",,,051-611-2875,,"09:00 - 13:00
12:30 접수마감",치과,,정기휴무 (매주 목요일),"10:00 - 18:00
13:00 - 14:20 휴게시간
17:30 접수마감"
문현사랑의원,부산 남구 수영로 43 2층 문현사랑의원,,,"09:30 - 18:30
13:00 - 14:00 휴게시간
18:15 접수마감",,현충일 휴무,정기휴무 (매주 일요일),,"09:30 - 18:30
13:00 - 14:00 휴게시간
18:15 접수마감",,,0507-1390-9310,,"09:30 - 13:30
13:15 접수마감",내과,,"09:30 - 18:30
13:00 - 14:00 휴게시간
18:15 접수마감","09:30 - 18:30
13:00 - 14:00 휴게시간
18:15 접수마감"
바른자세재활의학과의원,"부산 남구 분포로 115 힐탑탑플레이스 B동 503, 504호",,,10:00 - 18:00,,현충일 휴무,정기휴무 (매주 일요일),,10:00 - 19:00,,,0507-1402-0075,,09:00 - 13:00,재활의학과,,14:00 - 20:00,10:00 - 19:00
우리들40플란트치과병원,부산 남구 전포대로 90 강진융프라우 2차 4층,,,,,,,,,,,051-633-2875,,,치과,,,
오아시스치과의원,부산 남구 분포로 115 힐탑탑플레이스 A동 203호,,,"09:30 - 19:00
13:00 - 14:30 휴게시간",,현충일 휴무,정기휴무 (매주 일요일),,"09:30 - 19:00
13:00 - 14:30 휴게시간",,,051-710-5277,,09:30 - 13:00,치과,,"09:30 - 19:00
13:00 - 14:30 휴게시간","09:30 - 19:00
13:00 - 14:30 휴게시간"
나란이 치과교정과 치과의원,부산 남구 용호로 50 범양빌딩 2층,,,"11:00 - 18:30
13:00 - 14:00 휴게시간",,현충일 휴무,정기휴무 (매주 일요일),,"11:00 - 18:30
13:00 - 14:00 휴게시간",,,051-625-2885,,10:00 - 13:00,치과,,"11:00 - 18:00
13:00 - 14:00 휴게시간","11:00 - 18:00
13:00 - 14:00 휴게시간"
우리가정의학과의원,부산 남구 오륙도로 85 상가 2동 210호,,,"10:00 - 19:00
13:00 - 14:00 휴게시간",,현충일 휴무,정기휴무 (매주 일요일),,"10:00 - 19:00
13:00 - 14:00 휴게시간",,,051-622-5690,,정기휴무 (매주 토요일),가정의학과,,"10:00 - 19:00
13:00 - 14:00 휴게시간","10:00 - 19:00
13:00 - 14:00 휴게시간"
양성연내과의원,부산 남구 분포로 115 힐탑 탑플레이스 A동 303호,,,"08:30 - 16:00
15:30 접수마감",,현충일 휴무,정기휴무 (매주 일요일),,"08:30 - 18:00
12:30 - 14:00 휴게시간
17:30 접수마감",,,051-624-7582,,"08:30 - 12:30
12:00 접수마감",내과,,"08:30 - 18:00
12:30 - 14:00 휴게시간
17:30 접수마감","08:30 - 18:00
12:30 - 14:00 휴게시간
17:30 접수마감"
고구려한의원,부산 남구 수영로325번길 11 마로니에타운 403호,,,정기휴무 (매주 수요일),,,정기휴무 (매주 일요일),,"09:30 - 19:00
13:00 - 14:00 휴게시간","09:30 - 20:00
13:00 - 14:00 휴게시간",,0507-1356-2727,,09:30 - 14:00,한의원,,"09:30 - 19:00
13:00 - 14:00 휴게시간
접기","09:30 - 19:00
13:00 - 14:00 휴게시간"
다나아마취통증의학과의원,부산 남구 수영로 240-1 4층,,,"09:00 - 13:00
12:50 접수마감",,현충일 휴무,정기휴무 (매주 일요일),,"09:00 - 18:00
13:00 - 14:00 휴게시간
17:50 접수마감",,,051-625-5005,,"09:00 - 13:00
12:50 접수마감",마취통증의학과,,"09:00 - 18:00
13:00 - 14:00 휴게시간
17:50 접수마감","09:00 - 18:00
13:00 - 14:00 휴게시간
17:50 접수마감"
해바라기치과의원,부산 남구 전포대로 16,,,"09:30 - 18:30
13:00 - 14:00 휴게시간",,,정기휴무 (매주 일요일),,"09:30 - 18:30
13:00 - 14:00 휴게시간","09:30 - 18:30
13:00 - 14:00 휴게시간",,051-642-2804,,09:30 - 14:00,치과,,"09:30 - 19:30
13:00 - 14:00 휴게시간","09:30 - 18:30
13:00 - 14:00 휴게시간"
해미인치과교정과치과의원,부산 남구 수영로 306,,,,,현충일 휴무,정기휴무 (매주 일요일),,"10:00 - 19:00
13:00 - 14:00 휴게시간",,10:00 - 19:00,051-623-7552,,09:30 - 13:30,치과,,"10:00 - 19:00
13:00 - 14:00 휴게시간","10:00 - 19:00
13:00 - 14:00 휴게시간"
정상신한의원,부산 남구 우암로 168 2층,,,"09:30 - 18:30
13:00 - 14:00 휴게시간",,현충일09:30 - 13:30,정기휴무 (매주 일요일),,"09:30 - 18:30
13:00 - 14:00 휴게시간",,,051-631-0210,,09:30 - 13:30,한의원,,"09:30 - 18:30
13:00 - 14:00 휴게시간
접기","09:30 - 18:30
13:00 - 14:00 휴게시간"
메디스치과의원 경성대,부산 남구 수영로 295 세웅빌딩 4층,,,"10:00 - 19:00
13:00 - 14:00 휴게시간",,현충일 휴무,정기휴무 (매주 일요일),,,,,0507-1315-7475,,10:00 - 14:00,치과,휴무,"10:00 - 20:00
13:00 - 14:00 휴게시간","10:00 - 19:00
13:00 - 14:00 휴게시간"
대한한의원,부산 남구 수영로 177 이양희산부인과의원,,,"09:00 - 18:00
12:00 - 13:00 휴게시간",,현충일 휴무,정기휴무 (매주 일요일),,"09:00 - 18:00
12:00 - 13:00 휴게시간",,,051-633-7582,,09:00 - 13:00,한의원,,"09:00 - 18:00
12:00 - 13:00 휴게시간","09:00 - 18:00
12:00 - 13:00 휴게시간"
디올이비인후과의원,"부산 남구 수영로 216 1층, 9층",,,"09:00 - 18:30
12:50 - 14:00 휴게시간
18:25 접수마감",,현충일 휴무,정기휴무 (매주 일요일),,,,,051-791-1100,,"09:00 - 13:00
12:55 접수마감",이비인후과,휴무,"09:00 - 18:30
12:50 - 14:00 휴게시간
18:25 접수마감","09:00 - 18:30
12:50 - 14:00 휴게시간
18:25 접수마감"
마리여성의원,부산 남구 수영로 297 동남CATV 4층,,,"09:30 - 18:30
13:00 - 14:00 휴게시간",,현충일 휴무,정기휴무 (매주 일요일),,"09:30 - 18:30
13:00 - 14:00 휴게시간",,,051-626-1009,,09:30 - 13:00,산부인과,,"09:30 - 18:30
13:00 - 14:00 휴게시간","09:30 - 18:30
13:00 - 14:00 휴게시간"
미듬치과의원,부산 남구 용호로 141 리우메디컬빌딩 3층,,,"09:30 - 18:30
12:30 - 14:00 휴게시간",,현충일 휴무,정기휴무 (매주 일요일),,"09:30 - 18:30
12:30 - 14:00 휴게시간",,,0507-1393-2879,,09:30 - 13:00,치과,,"09:30 - 20:00
12:30 - 14:00 휴게시간","09:30 - 18:30
12:30 - 14:00 휴게시간"
라인정형외과의원,부산 남구 유엔로 14 우암 센텀 메디컬,,,"09:00 - 19:30
12:30 - 14:00 휴게시간",,현충일 휴무,정기휴무 (매주 일요일),,"09:00 - 19:30
12:30 - 14:00 휴게시간",,,0507-1397-5114,,09:00 - 13:00,정형외과,,09:00 - 13:00,"09:00 - 19:30
12:30 - 14:00 휴게시간"
일신소아청소년과의원,부산 남구 분포로 113 LG메트로시티 주2상가 3층,,,"09:00 - 13:00
12:50 접수마감",,현충일 휴무,정기휴무 (매주 일요일),,"09:00 - 18:00
12:30 - 14:00 휴게시간
12:20, 17:50 접수마감",,,051-611-6181,,"09:00 - 13:00
12:50 접수마감",소아청소년과,,"09:00 - 18:00
12:30 - 14:00 휴게시간
12:20, 17:50 접수마감","09:00 - 18:00
12:30 - 14:00 휴게시간
12:20, 17:50 접수마감"
정우창성형외과의원,부산 남구 수영로 300 6층,,,,,,,,,,,051-624-6611,,,성형외과,,,
뷰리안의원,부산 남구 용호로 141 리우메디컬센터 3층,,,"10:30 - 19:00
13:30 - 14:30 휴게시간
18:45 접수마감",,현충일 휴무,정기휴무 (매주 일요일),,"15:00 - 20:30
20:15 접수마감",,,0507-1433-7823,,"10:30 - 15:30
15:15 접수마감",피부과,,"10:30 - 20:30
13:30 - 14:30 휴게시간
20:15 접수마감","10:30 - 19:00
13:30 - 14:30 휴게시간
18:45 접수마감"
디지털닥터정치과의원,부산 남구 분포로 145 2077호,,,"09:30 - 18:00
12:30 - 14:00 휴게시간
12:00, 17:30 접수마감",,현충일 휴무,정기휴무 (매주 일요일),,"09:30 - 18:00
12:30 - 14:00 휴게시간
12:00, 17:30 접수마감",,,0507-1477-2278,,"09:30 - 13:00
12:30 접수마감",치과,,정기휴무 (매주 목요일),"09:30 - 18:00
12:30 - 14:00 휴게시간
12:00, 17:30 접수마감"
선한이웃치과의원,부산 남구 수영로 47,,,"09:00 - 18:00
12:00 - 13:00 휴게시간",,현충일 휴무,정기휴무 (매주 일요일),,"09:00 - 18:00
12:00 - 13:00 휴게시간",,,051-643-2875,,09:00 - 16:30,치과,,"09:00 - 18:00
12:00 - 13:00 휴게시간","09:00 - 18:00
12:00 - 13:00 휴게시간"
박소양산부인과의원,부산 남구 분포로 111 LG메트로시티 상가 1003-305호,,,"09:30 - 18:30
12:30 - 14:00 휴게시간",,현충일 휴무,정기휴무 (매주 일요일),,"09:30 - 18:30
12:30 - 14:00 휴게시간",,,051-612-0004,,09:30 - 13:00,산부인과,,"09:30 - 18:30
12:30 - 14:00 휴게시간","09:30 - 18:30
12:30 - 14:00 휴게시간"
서울최유라정신건강의학과의원,부산 남구 수영로 252 김계영내과건물 4층,,,14:00 - 19:30,,현충일 휴무,정기휴무 (매주 일요일),,"09:30 - 17:30
13:00 - 14:00 휴게시간",,,0507-1390-3234,,09:30 - 13:30,정신건강의학과,,"09:30 - 17:30
13:00 - 14:00 휴게시간","09:30 - 17:30
13:00 - 14:00 휴게시간"
파크사이드재활의학병원,부산 남구 유엔평화로125번길 11-10,,,,,,,,,,,051-629-8000,,,재활의학과,,,
에스산부인과의원,부산 남구 용호로 141 대현메디칼 2층 용호사거리 부산은행2층,,,09:30 - 14:00,,현충일 휴무,정기휴무 (매주 일요일),,"09:30 - 18:00
13:00 - 14:00 휴게시간",,,051-715-7977,,09:30 - 14:00,산부인과,,"09:30 - 18:00
13:00 - 14:00 휴게시간","09:30 - 18:00
13:00 - 14:00 휴게시간"
김문석피부과의원,부산 남구 용호로 134 글로리아안경,,,09:00 - 17:00,,현충일 휴무,정기휴무 (매주 일요일),,09:00 - 17:00,,,051-624-1612,,09:00 - 12:30,피부과,,09:00 - 17:00,09:00 - 17:00
위대한의원,부산 남구 용호로 91 휴렉스,,,08:00 - 18:00,,현충일 휴무,정기휴무 (매주 일요일),,08:00 - 18:00,,,051-711-6688,,08:00 - 15:00,내과,,08:00 - 18:00,08:00 - 18:00
부산대연 리아한의원,부산 남구 수영로 244 남천빌딩 3층,,,"10:00 - 21:00
13:00 - 14:00 휴게시간",,현충일 휴무,정기휴무 (매주 일요일),,"10:00 - 21:00
13:00 - 14:00 휴게시간",,,0507-1359-4975,,10:00 - 15:00,한의원,,"10:00 - 21:00
13:00 - 14:00 휴게시간","10:00 - 21:00
13:00 - 14:00 휴게시간"
강남비뇨기과의원,부산 남구 수영로 31,,,"09:00 - 18:00
13:00 - 14:00 휴게시간",,,정보없음,,"09:00 - 18:00
13:00 - 14:00 휴게시간","09:00 - 18:00
13:00 - 14:00 휴게시간",,051-646-6464,,09:00 - 12:30,비뇨의학과,,"09:00 - 18:00
13:00 - 14:00 휴게시간
접기","09:00 - 18:00
13:00 - 14:00 휴게시간"
천지인한의원,부산 남구 수영로 213 천지인 한의원,,,"09:00 - 18:00
13:00 - 14:00 휴게시간
17:30 접수마감",,,정기휴무 (매주 일요일),,"09:00 - 18:00
13:00 - 14:00 휴게시간
17:30 접수마감","09:00 - 14:00
13:30 접수마감",,051-791-1075,,"09:00 - 14:00
13:30 접수마감",한의원,,"09:00 - 14:00
13:30 접수마감","09:00 - 18:00
13:00 - 14:00 휴게시간
17:30 접수마감"
유솜마취통증의학과의원,부산 남구 수영로 260 백리명가 (남천메디컬) 7층,,,"14:00 - 21:00
20:30 접수마감",,현충일 휴무,정기휴무 (매주 일요일),,"09:30 - 18:00
13:00 - 14:00 휴게시간
17:30 접수마감",,,0507-1330-4114,,"09:30 - 13:00
12:30 접수마감",마취통증의학과,,"09:30 - 18:00
13:00 - 14:00 휴게시간
17:30 접수마감","09:30 - 18:00
13:00 - 14:00 휴게시간
17:30 접수마감"
대연정형외과의원,부산 남구 수영로 225-1,,,"09:00 - 18:30
13:00 - 14:30 휴게시간",,,정기휴무 (매주 일요일),,"09:00 - 18:30
13:00 - 14:30 휴게시간","09:00 - 18:30
13:00 - 14:30 휴게시간",,051-914-1234,,09:00 - 13:00,정형외과,,"09:00 - 18:30
13:00 - 14:30 휴게시간
접기","09:00 - 18:30
13:00 - 14:30 휴게시간"
시온치과의원 대연점,부산 남구 수영로 230,,,"09:30 - 18:30
13:00 - 14:30 휴게시간",,현충일 휴무,정기휴무 (매주 일요일),,"09:30 - 18:30
13:00 - 14:30 휴게시간",,,0507-1419-2822,,09:30 - 14:00,치과,,"09:30 - 18:30
13:00 - 14:30 휴게시간","09:30 - 18:30
13:00 - 14:30 휴게시간"
리즈정신건강의학과의원,부산 남구 수영로 182-1 리즈메디컬 4층,,,14:00 - 18:30,,현충일 휴무,정기휴무 (매주 일요일),,"09:30 - 18:30
12:30 - 14:00 휴게시간",,,051-639-3399,,09:30 - 13:00,정신건강의학과,,"09:30 - 18:30
12:30 - 14:00 휴게시간","09:30 - 18:30
12:30 - 14:00 휴게시간"
김소아청소년과의원,부산 남구 우암로 67-2 김소아과의원,,,"09:30 - 18:00
13:00 - 14:30 휴게시간",,,정기휴무 (매주 일요일),,"09:30 - 18:00
13:00 - 14:30 휴게시간","09:30 - 18:00
13:00 - 14:30 휴게시간",,051-645-8988,,09:30 - 13:00,소아청소년과,,"14:00 - 18:00
접기","09:30 - 18:00
13:00 - 14:30 휴게시간"
