이름,병원주소,병원종류,영업시간,전화번호
오션시티치과병원,부산 강서구 명지오션시티4로 70 6층,치과,"금
09:30 - 18:00
12:30 - 14:00 휴게시간
토
09:30 - 13:00
일
정기휴무 (매주 일요일)
월
09:30 - 18:00
12:30 - 14:00 휴게시간
화(6/6)
현충일 휴무
수
09:30 - 21:00
12:30 - 14:00 휴게시간
목
09:30 - 18:00
12:30 - 14:00 휴게시간",051-271-7528
국제한의원,부산 강서구 명지국제8로 243,한의원,"금
09:30 - 19:00
토
09:15 - 14:00
일
정기휴무 (매주 일요일)
월
09:30 - 20:00
화(6/6)
현충일 휴무
수
09:30 - 20:00
목
09:30 - 19:00",051-711-2625
녹산보건지소,부산 강서구 생곡로 17,보건지소,"금
09:00 - 18:00
토
정보없음
일
정보없음
월
09:00 - 18:00
화
09:00 - 18:00
수
09:00 - 18:00
목
09:00 - 18:00
접기",051-970-4796
맥치과의원 명지점,부산 강서구 명지국제5로 42 동진빌딩 5층,치과,"금
09:30 - 18:30
13:00 - 14:00 휴게시간
토
09:00 - 14:00
일
정기휴무 (매주 일요일)
월
09:30 - 18:30
13:00 - 14:00 휴게시간
화(6/6)
현충일 휴무
수
09:30 - 18:30
13:00 - 14:00 휴게시간
목
14:00 - 21:00",051-205-2486
개나리소아청소년과병원,"부산 강서구 명지국제8로 269 유당빌딩 4,5층",소아청소년과,"금
09:00 - 18:30
12:30 - 14:00 휴게시간
토
09:00 - 12:30
일
정기휴무 (매주 일요일)
월
09:00 - 18:30
12:30 - 14:00 휴게시간
화
09:00 - 18:30
12:30 - 14:00 휴게시간
수
09:00 - 18:30
12:30 - 14:00 휴게시간
목
09:00 - 18:30
12:30 - 14:00 휴게시간",051-202-1113
명지더나음한의원,부산 강서구 명지국제5로 42 402호,한의원,"금
10:00 - 20:00
13:00 - 14:30 휴게시간
12:30, 19:30 접수마감
토
09:30 - 13:30
13:00 접수마감
일
정기휴무 (매주 일요일)
월
10:00 - 20:00
13:00 - 14:30 휴게시간
12:30, 19:30 접수마감
화
10:00 - 20:00
13:00 - 14:30 휴게시간
12:30, 19:30 접수마감
수
10:00 - 20:00
13:00 - 14:30 휴게시간
12:30, 19:30 접수마감
목
14:30 - 20:00
19:30 접수마감
접기",0507-1309-0365
함께웃는치과의원,부산 강서구 명지국제8로 233,치과,"금
10:00 - 19:00
토
10:00 - 17:00
일
정기휴무 (매주 일요일)
월
10:00 - 19:00
화(6/6)
현충일 휴무
수
10:00 - 21:00
목
10:00 - 21:00",051-201-6700
우리치과의원,부산 강서구 과학산단로306번길 10 협성·DS 엘리시안아파트,치과,"금
10:00 - 13:00
토
정기휴무 (매주 토요일)
일
정기휴무 (매주 일요일)
월
10:00 - 20:30
13:00 - 14:00 휴게시간
화(6/6)
현충일 휴무
수
10:00 - 20:30
13:00 - 14:00 휴게시간
목
10:00 - 20:30
13:00 - 14:00 휴게시간",0507-1418-2804
정지훈치과의원,부산 강서구 신호산단2로 33,치과,"금
09:30 - 18:30
13:00 - 14:00 휴게시간
토
정기휴무 (매주 토요일)
일
정기휴무 (매주 일요일)
월
09:30 - 18:30
13:00 - 14:00 휴게시간
화(6/6)
현충일 휴무
수
13:30 - 18:30
목
09:30 - 20:30
17:30 - 18:00 휴게시간",051-973-2272
명지본한의원,"부산 강서구 명지국제5로 14 서진빌딩 2,3층",한의원,"금
10:00 - 20:00
13:00 - 14:30 휴게시간
토
10:00 - 14:30
일
10:00 - 14:30
월
10:00 - 20:00
13:00 - 14:30 휴게시간
화(6/6)
현충일10:00 - 14:30
수
10:00 - 19:00
13:00 - 14:30 휴게시간
목
10:00 - 19:00
13:00 - 14:30 휴게시간
접기",0507-1402-8275
명지아동병원,부산 강서구 명지국제8로 240,소아청소년과,"금
09:00 - 19:00
13:00 - 14:00 휴게시간
토
09:00 - 16:00
13:00 - 14:00 휴게시간
일
09:00 - 13:00
월
09:00 - 19:00
13:00 - 14:00 휴게시간
화(6/6)
현충일09:00 - 13:00
수
09:00 - 19:00
13:00 - 14:00 휴게시간
목
09:00 - 19:00
13:00 - 14:00 휴게시간
접기",051-717-0230
윤혜리한의원,부산 강서구 명지오션시티11로 74,한의원,"금
09:30 - 18:30
12:30 - 14:00 휴게시간
토
09:30 - 13:30
일
정기휴무 (매주 일요일)
월
09:30 - 18:30
12:30 - 14:00 휴게시간
화(6/6)
현충일 휴무
수
09:30 - 18:30
12:30 - 14:00 휴게시간
목
14:00 - 18:30",051-202-3155
경희청담한의원,부산 강서구 명지오션시티4로 61 이건빌딩 302호,한의원,"금
09:30 - 19:00
13:00 - 14:30 휴게시간
토
09:00 - 13:00
일
정기휴무 (매주 일요일)
월
09:30 - 19:00
13:00 - 14:30 휴게시간
화(6/6)
현충일 휴무
수
09:30 - 19:00
13:00 - 14:30 휴게시간
목
09:30 - 19:00
13:00 - 14:30 휴게시간",051-271-1056
금빛한의원 부산점,부산 강서구 명지국제8로 257 3층,한의원,"금
10:00 - 20:00
13:00 - 14:00 휴게시간
토
10:00 - 14:00
일
10:00 - 14:00
월
10:00 - 20:00
13:00 - 14:00 휴게시간
화(6/6)
현충일10:00 - 14:00
수
10:00 - 20:00
13:00 - 14:00 휴게시간
목
10:00 - 20:00
13:00 - 14:00 휴게시간
접기",0507-1310-7510
편한몸의원,부산 강서구 신호산단2로 33,정형외과,"금
09:00 - 19:00
13:00 - 14:00 휴게시간
토
09:00 - 14:00
일
정기휴무 (매주 일요일)
월
09:00 - 19:00
13:00 - 14:00 휴게시간
화(6/6)
현충일 휴무
수
09:00 - 19:00
13:00 - 14:00 휴게시간
목
09:00 - 19:00
13:00 - 14:00 휴게시간",051-973-8219
한국미인부산배내과의원,부산 강서구 대저로 283-1,내과,"금
08:30 - 13:00
토
08:00 - 12:00
일
정보없음
월
08:30 - 13:00
화
08:30 - 17:00
수
08:30 - 13:00
목
08:30 - 17:00
접기",051-941-8866
명지화이트치과의원,부산 강서구 명지국제2로 29 성광타워 5층,치과,"금
09:30 - 18:30
13:00 - 14:00 휴게시간
토
09:30 - 13:30
일
정기휴무 (매주 일요일)
월
09:30 - 20:30
13:00 - 14:00 휴게시간
화(6/6)
현충일 휴무
수
09:30 - 20:30
13:00 - 14:00 휴게시간
목
09:30 - 18:30
13:00 - 14:00 휴게시간",051-203-8070
명지엘치과의원,부산 강서구 명지국제8로 230,치과,"금
09:30 - 18:30
토
09:30 - 17:00
일
정기휴무 (매주 일요일)
월
09:30 - 21:00
12:00 - 14:00 휴게시간
화(6/6)
현충일 휴무
수
09:30 - 18:30
목
14:00 - 21:00",0507-1480-2875
강서연합의원,부산 강서구 대저로 266 1층,"병원,의원","금
08:00 - 18:00
토
08:00 - 13:00
일
정기휴무 (매주 일요일)
월
08:00 - 18:00
화(6/6)
현충일08:00 - 13:00
수
08:00 - 18:00
목
08:00 - 18:00",0507-1346-7170
신호원치과의원,부산 강서구 신호산단2로 21,치과,"금
10:00 - 18:00
13:00 - 14:00 휴게시간
토
정기휴무 (매주 토요일)
일
정기휴무 (매주 일요일)
월
10:00 - 20:00
13:00 - 14:00 휴게시간
17:30 - 18:00 휴게시간
화(6/6)
현충일 휴무
수
10:00 - 18:00
13:00 - 14:00 휴게시간
목
10:00 - 20:00
13:00 - 14:00 휴게시간
17:30 - 18:00 휴게시간",051-989-9111
신호부부한의원,부산 강서구 신호산단2로 33 골든뷰 2층,한의원,"금
09:30 - 20:00
13:00 - 14:30 휴게시간
19:40 접수마감
토
09:30 - 15:00
14:40 접수마감
일
정기휴무 (매주 일요일)
월
09:30 - 20:00
13:00 - 14:30 휴게시간
19:40 접수마감
화(6/6)
현충일 휴무
수
09:30 - 20:00
13:00 - 14:30 휴게시간
19:40 접수마감
목
09:30 - 20:00
13:00 - 14:30 휴게시간
19:40 접수마감",0507-1488-3637
서울편한내과의원,부산 강서구 대저로 254,내과,"금
09:00 - 18:00
13:00 - 14:00 휴게시간
토
09:00 - 13:00
일
정기휴무 (매주 일요일)
월
09:00 - 18:00
13:00 - 14:00 휴게시간
화(6/6)
현충일 휴무
수
09:00 - 13:00
목
09:00 - 18:00
13:00 - 14:00 휴게시간",0507-1493-6622
리더스치과의원,부산 강서구 명지국제8로 254,치과,"금
10:00 - 19:00
13:00 - 14:30 휴게시간
토
10:00 - 14:00
일
정기휴무 (매주 일요일)
월
10:00 - 19:00
13:00 - 14:30 휴게시간
화(6/6)
현충일 휴무
수
10:00 - 19:00
13:00 - 14:30 휴게시간
목
10:00 - 20:30
13:00 - 14:30 휴게시간
17:00 - 17:30 휴게시간",0507-1425-2882
마음에 청진기 가정의학과의원,부산 강서구 명지국제8로 243 미주프라자 302호,가정의학과,"금
10:00 - 18:00
토
10:00 - 14:00
일
정기휴무 (매주 일요일)
월
10:00 - 19:00
화(6/6)
현충일 휴무
수
10:00 - 19:00
목
10:00 - 20:00",051-293-0375
명지치과의원,부산 강서구 명지오션시티4로 61 이건빌딩 301호,치과,"금
09:30 - 18:30
12:30 - 14:00 휴게시간
토
09:30 - 13:30
일
정기휴무 (매주 일요일)
월
09:30 - 18:30
12:30 - 14:00 휴게시간
화(6/6)
현충일 휴무
수
09:30 - 18:30
12:30 - 14:00 휴게시간
목
09:30 - 20:30",051-271-2842
해바라기치과의원,부산 강서구 명지오션시티4로 67,치과,"금
09:30 - 18:30
13:00 - 14:00 휴게시간
토
09:30 - 13:00
일
정기휴무 (매주 일요일)
월
09:30 - 18:30
13:00 - 14:00 휴게시간
화(6/6)
현충일 휴무
수
09:30 - 18:30
13:00 - 14:00 휴게시간
목
09:30 - 18:30
13:00 - 14:00 휴게시간",051-271-7751
다온한의원,부산 강서구 명지국제8로 251 302호 다온한의원,한의원,"금
09:30 - 21:00
12:30 - 14:00 휴게시간
토
09:30 - 14:30
일
09:30 - 14:30
월
09:30 - 21:00
12:30 - 14:00 휴게시간
화(6/6)
현충일09:30 - 14:30
수
09:30 - 21:00
12:30 - 14:00 휴게시간
목
09:30 - 21:00
12:30 - 14:00 휴게시간
접기",0507-1359-1075
기분좋은치과의원,부산 강서구 명지오션시티4로 62,치과,"금
09:30 - 18:30
토
09:30 - 13:30
일
정기휴무 (매주 일요일)
월
09:30 - 20:00
화(6/6)
현충일 휴무
수
09:30 - 18:30
목
09:30 - 20:00",051-271-7755
명지침례의원,부산 강서구 명지새동네길1번길 32,내과,"금
09:00 - 18:00
12:30 - 14:00 휴게시간
토
09:00 - 12:00
일
정기휴무 (매주 일요일)
월
09:00 - 18:00
12:30 - 14:00 휴게시간
화(6/6)
현충일 휴무
수
09:00 - 18:00
12:30 - 14:00 휴게시간
목
09:00 - 18:00
12:30 - 14:00 휴게시간",051-271-3227
연세이편한치과의원,부산 강서구 명지국제6로 168 명지 스타필드시티 4층,치과,"금
10:00 - 18:30
13:30 - 15:00 휴게시간
토
10:00 - 17:00
13:30 - 15:00 휴게시간
일
10:00 - 17:00
13:30 - 15:00 휴게시간
월
정기휴무 (매주 월요일)
화(6/6)
현충일10:00 - 17:00
13:30 - 15:00 휴게시간
수
10:00 - 18:30
13:30 - 15:00 휴게시간
목
10:00 - 18:30
13:30 - 15:00 휴게시간
접기",051-990-0040
남경의원,부산 강서구 공항앞길 5,내과,"금
09:00 - 18:00
토
09:00 - 13:00
일
정기휴무 (매주 일요일)
월
09:00 - 18:00
화(6/6)
현충일 휴무
수
09:00 - 18:00
목
09:00 - 18:00",051-973-8575
애플민트치과의원,부산 강서구 명지오션시티4로 64,치과,"금
09:30 - 18:30
13:00 - 14:00 휴게시간
토
09:00 - 15:00
일
정기휴무 (매주 일요일)
월
09:30 - 18:30
13:00 - 14:00 휴게시간
화(6/6)
현충일 휴무
수
09:30 - 18:30
13:00 - 14:00 휴게시간
목
09:30 - 18:30
13:00 - 14:00 휴게시간",051-271-8808
강서하늘치과의원,부산 강서구 공항로811번가길 56,치과,"금
10:00 - 19:00
13:00 - 14:30 휴게시간
토
정기휴무 (매주 토요일)
일
정기휴무 (매주 일요일)
월
10:00 - 19:00
13:00 - 14:30 휴게시간
화(6/6)
현충일 휴무
수
10:00 - 19:00
13:00 - 14:30 휴게시간
목
10:00 - 19:00
13:00 - 14:30 휴게시간",051-832-2875
인제대학교부산백병원부설김해국제공항의원,부산 강서구 공항진입로 108 김해국제공항국내선청사 1F,"병원,의원","금
09:00 - 17:00
토
정기휴무 (매주 토요일)
일
정기휴무 (매주 일요일)
월
09:00 - 17:00
화(6/6)
현충일 휴무
수
09:00 - 17:00
목
09:00 - 17:00",051-974-2888
지사보건진료소,부산 강서구 과학산단2로20번길 5,보건진료소,"금
09:00 - 18:00
토
정보없음
일
정보없음
월
09:00 - 18:00
화
09:00 - 18:00
수
09:00 - 18:00
목
09:00 - 18:00
접기",051-970-2980
최치과의원,부산 강서구 명지새동네길1번길 32,치과,"금
09:30 - 18:30
12:30 - 14:00 휴게시간
토
09:30 - 12:30
일
정기휴무 (매주 일요일)
월
09:30 - 18:30
12:30 - 14:00 휴게시간
화(6/6)
현충일 휴무
수
09:30 - 18:30
12:30 - 14:00 휴게시간
목
09:30 - 18:30
12:30 - 14:00 휴게시간",051-271-2875
명지튼튼한의원,부산 강서구 명지오션시티4로 70,한의원,"금
09:30 - 19:00
12:30 - 14:00 휴게시간
18:10 접수마감
토
09:30 - 14:00
13:10 접수마감
일
정기휴무 (매주 일요일)
월
09:30 - 19:00
12:30 - 14:00 휴게시간
18:10 접수마감
화(6/6)
현충일 휴무
수
09:30 - 19:00
12:30 - 14:00 휴게시간
18:10 접수마감
목
14:00 - 19:00
18:10 접수마감",051-503-8818
신호한의원,부산 강서구 신호산단2로 21,한의원,"금
10:00 - 19:30
13:00 - 14:00 휴게시간
19:00 접수마감
토
10:00 - 15:00
14:30 접수마감
일
정기휴무 (매주 일요일)
월
10:00 - 19:30
13:00 - 14:00 휴게시간
19:00 접수마감
화(6/6)
현충일 휴무
수
10:00 - 19:30
13:00 - 14:00 휴게시간
19:00 접수마감
목
10:00 - 20:30
13:00 - 14:00 휴게시간
20:00 접수마감",051-941-8275
부산교도소부속의원,부산 강서구 대저중앙로29번길 62 부산교도소부속의원,내과,,051-9710-1572
다온치과의원,부산 강서구 범방3로46번길 13 3층 다온치과,치과,"금
08:30 - 18:30
토
09:00 - 13:00
일
정기휴무 (매주 일요일)
월
08:30 - 18:30
화
08:30 - 18:30
수
08:30 - 18:30
목
08:30 - 18:30
접기",051-831-2875
강동보건지소,부산 강서구 낙동북로102번길 76 강동보건지소,보건지소,"금
09:00 - 18:00
토
정보없음
일
정보없음
월
09:00 - 18:00
화
09:00 - 18:00
수
09:00 - 18:00
목
09:00 - 18:00
접기",051-970-4795
대저치과의원,부산 강서구 대저로 276,치과,"금
09:30 - 18:30
12:30 - 14:00 휴게시간
토
09:30 - 13:00
일
정기휴무 (매주 일요일)
월
09:30 - 18:30
12:30 - 14:00 휴게시간
화(6/6)
현충일 휴무
수
09:30 - 18:30
12:30 - 14:00 휴게시간
목
14:00 - 18:30",051-971-2875
활인한의원,부산 강서구 공항로811번길 43,한의원,"금
09:00 - 18:30
12:30 - 14:00 휴게시간
토
09:00 - 13:00
일
정기휴무 (매주 일요일)
월
09:00 - 18:30
12:30 - 14:00 휴게시간
화
09:00 - 18:30
12:30 - 14:00 휴게시간
수
09:00 - 18:30
12:30 - 14:00 휴게시간
목
09:00 - 18:30
12:30 - 14:00 휴게시간
접기",051-973-9737
르노코리아자동차부속의원,부산 강서구 르노삼성대로 61,내과,,051-979-9089
한빛한의원,부산 강서구 명지오션시티4로 62 파빌리온빌딩 3층,한의원,"금
09:30 - 19:00
12:30 - 14:00 휴게시간
토
09:30 - 13:30
일
정기휴무 (매주 일요일)
월
09:30 - 19:00
12:30 - 14:00 휴게시간
화(6/6)
현충일 휴무
수
09:30 - 19:00
12:30 - 14:00 휴게시간
목
14:00 - 19:00",051-206-1075
강서요양병원,부산 강서구 공항로811번길 1,요양병원,"금
09:00 - 18:00
토
09:00 - 13:00
일
정기휴무 (매주 일요일)
월
09:00 - 18:00
화(6/6)
현충일 휴무
수
09:00 - 18:00
목
09:00 - 18:00",051-941-1002
삼성전기부속의원,부산 강서구 녹산산업중로 333,가정의학과,,051-970-9123
천가보건지소,부산 강서구 성북1길 70-1,보건지소,"금
09:00 - 18:00
토
정보없음
일
정보없음
월
09:00 - 18:00
화
09:00 - 18:00
수
09:00 - 18:00
목
09:00 - 18:00
접기",051-970-4797
태안한의원,부산 강서구 대저로274번길 15,한의원,"금
09:30 - 18:30
13:00 - 14:00 휴게시간
토
09:30 - 13:00
일
정기휴무 (매주 일요일)
월
09:30 - 18:30
13:00 - 14:00 휴게시간
화(6/6)
현충일09:30 - 13:00
수
09:30 - 18:30
13:00 - 14:00 휴게시간
목
09:30 - 13:00
접기",051-941-7575
대한항공김해부속의원,부산 강서구 공항진입로42번길 54,내과,,051-970-5182
강서구보건소 보건행정계,부산 강서구 공항로811번가길 36,보건소,,051-970-3411
강서구보건소 민원실,부산 강서구 공항로811번가길 36,보건소,,051-970-3445
강서보건소 감염병관리계,부산 강서구 공항로811번길 10,보건소,,051-970-2926
대저한의원,부산 강서구 대저로 285,한의원,,No phone number available
용마루한의원,부산 강서구 낙동남로 1042,한의원,"금
09:00 - 18:00
12:30 - 14:00 휴게시간
토
09:00 - 17:00
일
정기휴무 (매주 일요일)
월
09:00 - 18:00
12:30 - 14:00 휴게시간
화(6/6)
현충일 휴무
수
09:00 - 18:00
12:30 - 14:00 휴게시간
목
09:00 - 18:00
12:30 - 14:00 휴게시간",051-624-7575
이치과의원,부산 강서구 낙동북로 74,치과,"금
09:30 - 18:30
12:30 - 13:30 휴게시간
토
09:30 - 13:00
일
정기휴무 (매주 일요일)
월
09:30 - 18:30
12:30 - 13:30 휴게시간
화(6/6)
현충일 휴무
수
09:30 - 18:30
12:30 - 13:30 휴게시간
목
14:00 - 18:30",051-971-2871
가락보건지소,부산 강서구 가락대로 1476 가락동 주민센터,보건지소,"금
09:00 - 18:00
토
정보없음
일
정보없음
월
09:00 - 18:00
화
09:00 - 18:00
수
09:00 - 18:00
목
09:00 - 18:00
접기",051-970-4798
강서구보건소 건강증진계,부산 강서구 공항로811번가길 36,보건소,,051-970-3481
가락동마을건강센터,부산 강서구 가락대로 1476 가락동 주민센터,병원부속시설,,No phone number available
천성보건진료소,부산 강서구 가덕해안로821번길 100 천성보건진료소,보건진료소,"금
09:00 - 18:00
12:00 - 13:00 휴게시간
토
정기휴무 (매주 토요일)
일
정기휴무 (매주 일요일)
월
09:00 - 18:00
12:00 - 13:00 휴게시간
화(6/6)
현충일 휴무
수
09:00 - 18:00
12:00 - 13:00 휴게시간
목
09:00 - 18:00
12:00 - 13:00 휴게시간",051-971-7623
대항보건진료소,부산 강서구 가덕해안로1208번가길 9 대항보건진료소,보건진료소,,051-972-7335
강서구보건소 가족보건계,부산 강서구 공항로811번가길 36,보건소,,051-970-3421
비움환 원외탕전,부산 강서구 대저중앙로172번길 20,병원부속시설,"금
09:00 - 18:00
토
정기휴무 (매주 토요일)
일
정기휴무 (매주 일요일)
월
09:00 - 18:00
화(6/6)
현충일 휴무
수
09:00 - 18:00
목
09:00 - 18:00",0507-1376-5104
부산강서구보건소 선별진료소,부산 강서구 공항로811번길 10,선별진료소,"금
09:00 - 18:00
12:00 - 13:00 휴게시간
토
09:00 - 13:00
일
09:00 - 13:00
월
09:00 - 18:00
12:00 - 13:00 휴게시간
화(6/6)
현충일09:00 - 13:00
수
09:00 - 18:00
12:00 - 13:00 휴게시간
목
09:00 - 18:00
12:00 - 13:00 휴게시간
접기",051-970-3415
코로나19검사센터,부산 강서구 공항진입로 108,병원부속시설,,No phone number available
강서구보건소 예방의학계,부산 강서구 공항로811번가길 36,보건소,,051-970-3433
갑을녹산병원 선별진료소,부산 강서구 녹산산단321로 24-8,선별진료소,"금
08:30 - 17:30
토
08:30 - 12:30
일
정기휴무 (매주 일요일)
월
08:30 - 17:30
화(6/6)
현충일 휴무
수
08:30 - 17:30
목
08:30 - 17:30",051-974-8449
더프라임병원,경남 김해시 경원로55번길 12,산부인과,"금
09:00 - 19:00
13:00 - 14:00 휴게시간
토
09:00 - 13:00
일
09:30 - 12:30
월
09:00 - 19:00
13:00 - 14:00 휴게시간
화(6/6)
현충일09:30 - 12:30
수
09:00 - 19:00
13:00 - 14:00 휴게시간
목
09:00 - 19:00
13:00 - 14:00 휴게시간",055-328-0059
부산본병원,부산 사하구 승학로 8,"병원,의원",,1599-8275
희망병원,경남 창원시 진해구 용원로 15 희망병원,"병원,의원",,055-552-7582
열린이비인후과의원,부산 북구 백양대로 1202 4층 열린이비인후과,이비인후과,"금
09:00 - 18:30
13:00 - 14:00 휴게시간
토
09:00 - 13:00
일
정기휴무 (매주 일요일)
월
09:00 - 18:30
13:00 - 14:00 휴게시간
화(6/6)
현충일 휴무
수
09:00 - 18:30
13:00 - 14:00 휴게시간
목
09:00 - 18:30
13:00 - 14:00 휴게시간",051-334-8899
미래로병원,부산 북구 금곡대로 15,산부인과,,051-330-5000
아름다운피부과의원,경남 김해시 가락로 23 김밥천국,피부과,"금
09:05 - 17:45
12:30 - 14:00 휴게시간
토
08:40 - 15:00
12:40 - 13:30 휴게시간
일
정기휴무 (매주 일요일)
월
09:05 - 17:45
12:30 - 14:00 휴게시간
화
09:05 - 17:45
12:30 - 14:00 휴게시간
수
09:05 - 17:45
12:30 - 14:00 휴게시간
목
09:05 - 17:45
12:30 - 14:00 휴게시간
접기",055-322-6300
미래아이여성병원,부산 사하구 낙동남로 1388,산부인과,,051-200-9999
에스피부과의원,경남 김해시 내외중앙로 84 서울메디컬센터 6층,피부과,"금
09:30 - 19:00
13:00 - 14:00 휴게시간
토
09:30 - 14:00
일
정기휴무 (매주 일요일)
월
09:30 - 19:00
13:00 - 14:00 휴게시간
화(6/6)
현충일 휴무
수
09:30 - 19:00
13:00 - 14:00 휴게시간
목
09:30 - 19:00
13:00 - 14:00 휴게시간",055-337-7582
의료법인숭인의료재단 김해복음병원,경남 김해시 활천로 33 김해복음병원,종합병원,,055-330-8888
삼성내과엠알영상의학과의원,부산 사하구 낙동남로 1392,내과,"금
08:00 - 18:30
13:00 - 14:00 휴게시간
토
08:00 - 13:00
일
정기휴무 (매주 일요일)
월
08:00 - 18:30
13:00 - 14:00 휴게시간
화(6/6)
현충일 휴무
수
08:00 - 18:30
13:00 - 14:00 휴게시간
목
08:00 - 18:30
13:00 - 14:00 휴게시간",051-208-5566
사상미사랑피부과의원,부산 사상구 사상로 200,피부과,"금
10:00 - 18:30
13:00 - 14:00 휴게시간
토
10:00 - 14:00
일
정기휴무 (매주 일요일)
월
10:00 - 18:30
13:00 - 14:00 휴게시간
화(6/6)
현충일 휴무
수
14:00 - 18:30
목
10:00 - 18:30
13:00 - 14:00 휴게시간",051-326-7582
큐병원,부산 사하구 낙동남로 1401,"병원,의원",,051-207-4343
경희대학교 교육협력 중앙병원,경남 김해시 분성로 94-8,종합병원,,1577-9116
올리브피부과의원,부산 북구 만덕대로27번길 3 세빈빌딩 6층,피부과,"금
09:30 - 19:00
13:00 - 14:00 휴게시간
토
09:30 - 14:30
일
정기휴무 (매주 일요일)
월
09:30 - 19:00
13:00 - 14:00 휴게시간
화(6/6)
현충일 휴무
수
09:30 - 19:00
13:00 - 14:00 휴게시간
목
09:30 - 19:00
13:00 - 14:00 휴게시간",0507-1406-3344
아이사랑병원,경남 김해시 활천로 22 아이사랑병원,소아청소년과,"금
09:00 - 21:00
12:30 - 14:00 휴게시간
토
09:00 - 17:00
12:30 - 14:00 휴게시간
일
09:00 - 12:00
월
09:00 - 21:00
12:30 - 14:00 휴게시간
화(6/6)
현충일09:00 - 17:00
12:30 - 14:00 휴게시간
수
09:00 - 21:00
12:30 - 14:00 휴게시간
목
09:00 - 21:00
12:30 - 14:00 휴게시간
접기",055-325-5775
서울이비인후과의원,경남 김해시 내외중앙로 84 서울메디컬센터 10층,이비인후과,"금
09:00 - 18:00
13:00 - 14:00 휴게시간
토
09:00 - 13:00
일
정기휴무 (매주 일요일)
월
09:00 - 18:00
13:00 - 14:00 휴게시간
화
09:00 - 18:00
13:00 - 14:00 휴게시간
수
09:00 - 18:00
13:00 - 14:00 휴게시간
목
09:00 - 18:00
13:00 - 14:00 휴게시간
접기",055-336-0660
엘리트치과병원,부산 사상구 가야대로 276,치과,"금
09:30 - 18:00
12:30 - 14:00 휴게시간
토
09:30 - 13:00
일
정기휴무 (매주 일요일)
월
09:30 - 20:00
12:30 - 14:00 휴게시간
화(6/6)
현충일 휴무
수
09:30 - 20:00
12:30 - 14:00 휴게시간
목
09:30 - 20:00
12:30 - 14:00 휴게시간",051-322-2875
자기치아살리기365일야간드림플란트치과병원,경남 김해시 김해대로 2361,치과,"금
09:00 - 21:00
12:30 - 14:00 휴게시간
토
09:00 - 21:00
12:30 - 14:00 휴게시간
일
09:00 - 21:00
12:30 - 14:00 휴게시간
월
09:00 - 21:00
12:30 - 14:00 휴게시간
화(6/6)
현충일09:00 - 21:00
12:30 - 14:00 휴게시간
수
09:00 - 21:00
12:30 - 14:00 휴게시간
목
09:00 - 21:00
12:30 - 14:00 휴게시간
접기",055-325-7528
의료법인 센텀의료재단 서부산센텀병원,부산 사상구 새벽로 226,정형외과,"금
09:00 - 17:30
12:30 - 13:30 휴게시간
12:00, 17:00 접수마감
토
09:00 - 13:00
12:30 접수마감
일
정기휴무 (매주 일요일)
월
09:00 - 18:00
12:30 - 13:30 휴게시간
12:00, 17:30 접수마감
화(6/6)
현충일 휴무
수
09:00 - 17:30
12:30 - 13:30 휴게시간
12:00, 17:00 접수마감
목
09:00 - 17:30
12:30 - 13:30 휴게시간
12:00, 17:00 접수마감",1644-5530
영진의료재단 엠아이병원,경남 김해시 번화1로44번길 6,"병원,의원","금
09:00 - 18:00
12:50 - 14:00 휴게시간
토
09:00 - 12:50
일
정기휴무 (매주 일요일)
월
09:00 - 18:00
12:50 - 14:00 휴게시간
화
09:00 - 18:00
12:50 - 14:00 휴게시간
수
09:00 - 18:00
12:50 - 14:00 휴게시간
목
09:00 - 18:00
12:50 - 14:00 휴게시간",055-339-8811
김해시보건소,경남 김해시 분성로 227 김해시 보건소,보건소,"금
09:00 - 18:00
12:00 - 13:00 휴게시간
토
정기휴무 (매주 토요일)
일
정기휴무 (매주 일요일)
월
09:00 - 18:00
12:00 - 13:00 휴게시간
화(6/6)
현충일 휴무
수
09:00 - 18:00
12:00 - 13:00 휴게시간
목
09:00 - 18:00
12:00 - 13:00 휴게시간",1577-9400
서울안과의원,경남 김해시 내외중앙로 84 서울메디컬센터8F(망막/드림렌즈)9F(시력교정/백내장),안과,"금
09:30 - 18:30
12:50 - 14:00 휴게시간
토
09:30 - 13:00
일
정기휴무 (매주 일요일)
월
09:30 - 18:30
12:50 - 14:00 휴게시간
화(6/6)
현충일 휴무
수
09:30 - 18:30
12:50 - 14:00 휴게시간
목
09:30 - 18:30
12:50 - 14:00 휴게시간",055-327-7582
윤종주정형외과 조현정내과의원,부산 사하구 낙동남로 1417 락희빌딩 3층(내과) 4층(정형외과),정형외과,,051-714-7105
율하꿈나무병원,경남 김해시 율하3로 38,소아청소년과,,055-331-9600
바로그의원 김해,경남 김해시 가락로 19 아름다운 뉴욕 메디컬센터 3층,피부과,"금
10:00 - 21:00
13:00 - 14:00 휴게시간
토
10:00 - 15:00
일
정기휴무 (매주 일요일)
월
10:00 - 19:00
13:00 - 14:00 휴게시간
화(6/6)
현충일 휴무
수
10:00 - 19:00
13:00 - 14:00 휴게시간
목
10:00 - 19:00
13:00 - 14:00 휴게시간",055-724-3997
